code,title,description,span,lithology
^bc,"Butte Valley Formation, facies c (limestone-mudstone facies)","Fine to medium-grained carbonates and mudstones, without the coarse clastic rocks in the other facies (Cole, 1986). Thermal metamorphism effects are weak but ubiquitous. This unit is 265 m thick (Cole, 1986).",Triassic,
^bd,"Butte Valley Formation, facies d  (mudstone-quartzite-limestone facies)","Abundant calcareous silty mudstone and calcareous quartzite, with minor limestone beds in the upper portions (Cole, 1986). Thermal metamorphism is weak but ubiquitous. A 13 m thick limestone bed occurs near the top of the unit, which contains gastropods that are not preserved well enough for identification. This unit is 340 m thick.",Triassic,
_b,Bonanza King Formation,"Massive bluish gray carbonate angular clasts exposed in a small remnant breccia deposit on the ridge between Butte Valley and Middle Park. Correlated to Bonanza King Formation (Cichanski, 1995) based on the massive blue-gray carbonate of the clasts and of nearby breccia deposits of Stirling Quartzite. The Bonanza King Formation is the next stratigraphic unit upwards with thick-bedded non-fossiliferous carbonates.",Cambrian,
Dl,Lost Burro Formation,"40 m of massive yellowish to gray dolomite correlated to the Lost Burro Formation (Wrucke et al., 2008). Wrucke and Stevens (1998) interpreted a moderately north dipping reverse fault to emplace the Lost Burro Formation over the Tin Mountain Limestone but this study found no evidence for such a fault and instead found low rake fault striae on the fault surfaces along the contact with the quartz diorite of Tram Canyon.",Devonian,
Jd,diorite,"Porphyritic dikes of plagioclase phenocrysts within dark green fine-grained matrix. These define a west-northwest trending, 1–2 km wide, 9 km long dike swarm along the Middle Park-South Park Canyons divide. These correlate with the regionally observed Independence dike swarm, seen farther west in the Argus and Inyo Mountains and farther south in the Mojave Desert. The dike swarm in the Panamint Range ends to the west at the Goldbug fault zone, but similar dikes were observed within the quartz feldspar gneiss. These dikes have abundant chlorite and epidote mineralization due to Cretaceous retrograde metamorphism. Similar dikes in Redlands Canyon are cut by the Manly Peak quartz monzonite. Three of these dikes were dated via zircon TIMS U-Pb with ages of ~148 Ma (Andrew, 2002).",Jurassic,
Jg,ids,"White fine-grained catclasite occurs as sheets within the hanging wall breccia of the Emigrant fault in Surprise Canyon (also discussed in the Miocene breccias above). Zircon LA-ICPMS analysis yielded Early Jurassic ages with a weighted mean 206Pb/238U age of 173.38 ± 0.65 Ma. Three concordant CA-TIMS zircon 206Pb(Th-corrected)/238U fractions gave an age of 178.27 ± 0.43 Ma, the rest were discordant with significant inheritance of Proterozoic basement zircon cores (Andrew, unpublished data). This age is similar to the Hunter Mountain Quartz Monzonite, which is interpreted to palinspastically restore to above this area at about 11 Ma (Andrew and Walker, 2009). A potential related body of this rock is a small granitic pluton exposed eastward in Surprise Canyon in the footwall of the Emigrant fault that has an age of 175.6 ± 3.2 Ma (Subia, 2019).",Jurassic,
Jgd,"hornblende diorite of Goler Wash, <Null>",Medium-grained granodiorite dikes and small stocks that intrude the Proterozoic strata in eastern Anvil Spring Canyon. These may be related to the Manly Peak Quartz Monzonite.,Jurassic,
Jhd,hornblende diorite of Goler Wash,"Hornblende diorite that occurs within quartz-feldspar gneiss along the western flank of the Panamint Range. Retrograde metamorphism with chlorite mineralization is abundant. A sample from Goler Wash has a CA-TIMS zircon 206Pb(Th-corrected)/238U age of 177.721 ± 0.074 Ma (Andrew, 2019). The westernmost and structurally highest exposures of this unit have strong ductile fabrics with top-to-the-northeast relative shear, similar to the Jurassic East Sierran thrust system, found in the nearby southern Slate and Argus Ranges (Dunne and Walker, 2004).",Jurassic,
Jpd,ids,"Porphyritic dikes of plagioclase phenocrysts within dark green fine-grained matrix. These define a west-northwest trending, 1–2 km wide, 9 km long dike swarm along the Middle Park-South Park Canyons divide. These correlate with the regionally observed Independence dike swarm, seen farther west in the Argus and Inyo Mountains and farther south in the Mojave Desert. The dike swarm in the Panamint Range ends to the west at the Goldbug fault zone, but similar dikes were observed within the quartz feldspar gneiss. These dikes have abundant chlorite and epidote mineralization due to Cretaceous retrograde metamorphism. Similar dikes in Redlands Canyon are cut by the Manly Peak quartz monzonite. Three of these dikes were dated via zircon TIMS U-Pb with ages of ~148 Ma (Andrew, 2002).",Jurassic,
Jqd,quartz diorite of Tram Canyon,"Medium-grained porphyritic quartz diorite with coarser plagioclase crystals within a fine dark gray silicic matrix. CA-TIMS zircon 206Pb(Th-corrected)/238U age of 151.23 ± 0.13 (Andrew, 2019). Previous geochronologic work determined ages of 154 Ma (Recalculated K-Ar: Stevens et al., 1974) and 139.5 ± 1.3 Ma (TIMS U-Pb zircon: Andrew, 2002). Biotite and hornblende from this unit yielded K-Ar ages of 154.7 ± 5 and 147.1 ± 5 Ma, respectively (Wrucke et al., 2008). Wrucke et al. (2008) refers to this unit as a tonalite. This units contains many 1–12 m inclusions of the wall rocks exposed to the north.",Jurassic,
Jr,rhyolitic dike,West-northwest trending dike of light-colored tuffaceous rock that cuts folded Warm Spring Canyon Formation north of Anvil Spring Canyon. This rock is possibly an along-strike continuation of the dike swarm exposedto the west.,Jurassic,
Jwa,"Warm Spring Canyon Formation, andesite flow meta-breccia","Breccia of clasts of dominantly andesite with lesser rhyolite in a dark gray aphanitic matrix (Cole, 1986). There is one lenticular sandstone within this. The total thickness is 367 m. A rhyolitic tuff protolith from the lower portion of this unit has a U-Pb age of 154 ± 7 Ma (Dunne et al., 1998).",Jurassic,
Jwb,"Warm Spring Canyon Formation, limestone meta-breccia","Cream to gray colored, generally tabular clasts of limestone in a very fine-grained dark gray clay matrix (Cole, 1986). Bedding is distinct, as thin to medium thicknesses that are gradational but generally fining upward. Other clasts observed are gneiss cobbles and hornblende meta-andesite clasts. The thickness varies (4.5–49 m thick) and its thickness pattern is lenticular as a whole. Jg LEUCOGRANITE (Early Jurassic(?)) – A few small leucogranite bodies are exposed along the basement gneiss-Crystal Spring contact in central Surprise Canyon. These appear to intrude the contact and Crystal Spring Formation implying they are not Proterozoic in age. These small bodies may correlate to the cataclastic leucogranite discussed below. Subia (2019) dated one of these bodies using zircon U-Pb zircon LA-ICPMS at 175.6 ± 3.2 Ma.",Jurassic,
Jwc,Warm Spring Canyon Formation,"Defined by Johnson (1957) and modified by Wrucke (1966). It is intruded by slightly younger Manly Peak Quartz Monzonite and cut by a dike associated with Late Jurassic Independence dike swarm (Andrew, 2002). Andrew (2002) inferred this formation to be the co-magmatic volcanic rocks to the Independence dike swarm.",Jurassic,
Jwf,"Warm Spring Canyon Formation, flow-banded meta-andesites","This unit is composed of flow-banded hornfels-facies meta-andesites, with two levels of flow breccias (Cole, 1986). This is 182 m thick.",Jurassic,
Jwp,"Warm Spring Canyon Formation, porphyritic meta-andesite","Massive meta-andesite, locally banded and also brecciated (Cole, 1986). Plagioclase phenocrysts are conspicuous throughout these exposures. This unit is locally sheared along its northernmost exposures in Warm Spring Canyon, and it is locally in fault contact with Permian rock units. There is a small lenticular carbonate body in one of the northern exposures, which is nonconformable to the flows. The thickness is at least 788 m, but the upper contact is not exposed.",Jurassic,
Jwq,Warm Spring Canyon Formation,"Defined by Johnson (1957) and modified by Wrucke (1966). It is intruded by slightly younger Manly Peak Quartz Monzonite and cut by a dike associated with Late Jurassic Independence dike swarm (Andrew, 2002). Andrew (2002) inferred this formation to be the co-magmatic volcanic rocks to the Independence dike swarm.",Jurassic,
