code,title,grouping,description
af,Artificial fill (Holocene (Historic)),,"Man-made deposit of various materials.  Some are compacted and quite firm, especially in earthen dams, but other fills made before 1965 are nearly everywhere not compacted and consist simply of dumped materials.  Only two bodies of this unit are shown on the map, one in the Warm Springs Dam and one in the Arched Rock quadrangle.  The many other bodies of this unit are too small to be shown at map scale"
Qal,Alluvial fan and fluvial deposits (Quaternary),,"Alluvial fan deposits are brown or tan, medium dense to dense, gravelly sand or sandy gravel that generally grade upward to sandy or silty clay.  Near the distal fan edges, the fluvial deposits are typically brown, never reddish, medium dense sand that fines upward to sandy or silty clay.  This unit also includes floodplain deposits: medium to dark gray, dense, sandy to silty clay.  Lenses of coarser material (silt, sand, and pebbles) may be locally present.  In addition, this unit includes natural levee deposits: loose, moderately sorted to well-sorted sandy or clayey silt grading to sandy or silty clay.  These deposits are porous and permeable and provide conduits for transport of ground water.  Levee deposits border stream channels, usually both banks, and slope away to flatter floodplains.  This unit also includes stream channel deposits: poorly sorted to well-sorted sand, silt, silty sand, or sandy gravel with minor cobbles.  Cobbles are more common in the mountain valleys. At the mouth of the Russian and Gualala Rivers and the two esteros in the Valley Ford quadrangle, this unit also includes bay mud (Qm)"
Qm,Bay mud (Quaternary),,"Water saturated estuarine mud, predominantly gray, green, and blue clay and silty clay underlying marshlands and tidal mud flats.  The mud also contains a few lenses of well-sorted, fine sand and silt, a few shelly layers (oysters), and peat.  This unit is mapped separately only in the Bodega Head quadrangle"
Qs,Beach and dune sand (Quaternary),,"Fine-grained, very well sorted, well-drained, eolian deposits.  They occur mainly in large sheets, as well as many small hills, most displaying Barchan morphology.  Dunes display as much as 30 m of erosional relief and are presently being buried by bay mud (Qm).  They probably began accumulating after the last interglacial high stand of sea level began to recede about 71 ka, continued to form when sea level dropped to its Wisconsin minimum about 20-15 ka, and probably ceased to accumulate after sea level reached its present elevation (about 6 ka)"
Qls,Landslide deposits (Quaternary),,"Poorly sorted clay, silt, sand, gravel, boulders, and rock masses. Only a few large landslides are shown.  For a more complete map of landslide deposits, see Nilsen and others (1979)"
Qt,Alluvial and marine terrace deposits (Pleistocene),,"Deposits consist of crudely bedded, clast-supported gravels, cobbles, and boulders with a sandy matrix.  Clasts as much as 35 cm intermediate diameter are present.  Coarse sand lenses may be locally present.  Alluvial terrace deposits lie on flat surfaces cut into bedrock a few meters that are up to several tens of meters above Qal deposits. Marine terrace deposits lie on one or more flights of flat surfaces that are cut into bedrock and lie up to 275 m above present sea level.  These terrace deposits are the remnants of an older alluvial system that have been lifted above present depositional levels by tectonic uplift associated with regional transpression"
Qpoaf,Older alluvial fan deposits (Pleistocene),,"Roughly horizontal beds of buff siltstone and claystone, buff to gray, fine- to coarse-grained lithic sandstone, pebbly sandstone, pebbly mudstone, and pebble to cobble conglomerate.  Clasts include silicic to intermediate volcanics, obsidian, varicolored chert, graywacke and metagraywacke, quartzite, metachert, hornfels, quartz, charcoal, and petrified wood. Previously mapped (Blake and others, 1971; Fox, 1983) as Glen Ellen Formation based on similar clast composition (especially obsidian), we differentiate Qpoaf from QTge based on the lack of deformation and volcanics interbedded in Qpoaf and because Qpoaf is softer and less resistant than QTge.   Qpoaf deposits probably formed as a large alluvial fan system at the west edge of hills and ridges underlain by Glen Ellen Formation and Sonoma Volcanics during uplift and transpression related to the Rodgers Creek/Healdsburg Fault Zone.  Much Qpoaf detritus is probably reworked from the Glen Ellen Formation.  This unit is at least 65 m thick.  It is incised and overlain by Qal.  This unit may be coeval in part with Qt  and related in part to the same older alluvial system"
Qr,Rhyolite and rhyodacite (Pleistocene),Clear Lake Volcanic Complex,"Porphyritic biotite rhyolite and rhyodacite flows.  Contains parts of the rhyolite of Alder Creek and rhyodacite of Cobb Mountain of Hearn and others (1995). Rhyolite has yielded radiometric ages of 1.11+0.02 to 1.15+0.02 Ma, and rhyodacite has yielded ages of 1.05+0.02 to 1.06+0.02 Ma (Hearn and others, 1995)"
Qob,Olivine basalt (Pleistocene),Clear Lake Volcanic Complex,"Olivine-rich basalt flows, dikes, and diatreme breccia.  Equivalent to the olivine basalt of Caldwell Pines of Hearn and others (1995).  The basalt has yielded a radiometric age of 1.66+0.12 Ma (Hearn and others, 1995)"
QTge,Glen Ellen Formation (Pleistocene(?) and Pliocene),,"Brown- to buff-weathering, interbedded siltstone, fine- to coarse-grained sandstone, pebbly and cobbly sandstone, conglomerate, and tuff.  Sandstone is tuffaceous or feldspathic arenite.  Coarse clasts include mafic to silicic volcanics, obsidian, pumice, varicolored chert, and graywacke.  The eastern part of the Glen Ellen Formation (mapped as QTget) contains more interbeds of tuff. Radiometric ages from interbedded tuff show that the Glen Ellen Formation is 3.1 Ma or younger (McLaughlin and others, 1999).  The basal part of the Glen Ellen Formation is coeval with and interfingers with the upper part of the Sonoma Volcanics"
QTget,Eastern part of the Glen Ellen Formation (Pleistocene(?) and Pliocene),,"Brown- to buff-weathering, interbedded siltstone, fine- to coarse-grained sandstone, pebbly and cobbly sandstone, conglomerate, and tuff.  Sandstone is tuffaceous or feldspathic arenite.  Coarse clasts include mafic to silicic volcanics, obsidian, pumice, varicolored chert, and graywacke.  The eastern part of the Glen Ellen Formation (mapped as QTget) contains more interbeds of tuff. Radiometric ages from interbedded tuff show that the Glen Ellen Formation is 3.1 Ma or younger (McLaughlin and others, 1999).  The basal part of the Glen Ellen Formation is coeval with and interfingers with the upper part of the Sonoma Volcanics"
Tor,Ohlson Ranch Formation (Pliocene),,"Mostly horizontal, thick beds of buff weathering, white to light-gray, well-consolidated, soft, quartz-lithic arenite.  Also includes buff-weathering gray siltstone, pebbly to cobbly sandstone and conglomerate, red lithic sandstone, and white tuff.  A tuff bed near the base of the unit in the Plantation quadrangle has been correlated (Sarna-Wojcicki, 1976) with the Nomlaki Tuff, which has yielded a radiometric age of 3.3 + 0.4 Ma (Everndon and others, 1964).  Locally concentrated Pliocene marine molluscan fossils have also been identified from this unit (Peck, 1960).  This formation lies in angular unconformity over Franciscan Complex rocks and in at least one location (Soda Springs Road in the Annapolis quadrangle) includes slabs as much as 10 m long of the underlying rock.  For a more complete description of the formation, see Higgins (1960)."
Tors,"sandstone, Ohlson Ranch Formation (Pliocene)",,
Torc,"conglomerate, Ohlson Ranch Formation (Pliocene)",,
