code,grouping,title,description,lithology
ml,,Modified land or artificial fill (latest Holocene),"Natural or man-made materials emplaced for various purposes, including construction, agriculture, flood control, and mining. Also includes areas where surface sediments have been removed by grading or quarrying. Modified land typically alters patterns and rates of drainage, infiltration, soil erosion, and soil development. Sedimentary structures, surface morphology, and soils inherited from original deposit typically are altered or destroyed. Often visible on aerial photographs as simple geometric patterns and areas of consistent albedo, for example linear dark strips for roads and bright circles for crop patches. Vegetation is typically sparse and dominated by first-succession species",
Qaa,,Active alluvial fan deposits (latest Holocene),"Poorly to moderately sorted fine sand to boulders deposited by ephemeral streams that actively receive or have received sediments within the last few years or decades. Typically unconsolidated and uncemented, thus easily eroded. Surface undulates with rounded microtopography common to braided streams and pronounced bar and swale topography; incised channels are shallow or absent. Active fan channels originate from the mountain front, incised in the proximal fan and tending to diffuse in the distal fan; distinct from active washes (Qaw), which generally occur at the base of fans and trend parallel to the mountain front. Soil development is minimal but fine grained eolian sediment may be abundant, especially in distal piedmont areas. Surfaces are prone to flooding. Main proximal fan channels are sharply defined on aerial photographs as long, bright, sinuous features and grade down-fan into complex braided-channel networks. Vegetation typically reflects age of exposure, with recently active surfaces having sparse annuals, and older surfaces supporting a patchwork of shrubs such as creosote bush (Larrea tridentata) and white bursage (Ambrosia dumosa) on surfaces active only decadally",
Qaag,,Active alluvial fan grus deposits (latest Holocene),Moderately sorted to well-sorted coarse sand to fine gravel derived from granitic sources that weather to grus. Sedimentary structures typically inconspicuous or lacking and surface morphology subdued. Active surface commonly inset less than 0.5 m into oldest alluvial deposits. Maximum clast size does not vary appreciably with distance from mountain front. Occurs in southwestern quadrant of map area,
Qya,,Young alluvial fan deposits (Holocene and latest Pleistocene),Poorly to moderately sorted fine sand to boulders deposited by ephemeral streams; deposits have surfaces that have received little or no deposition in the last several thousand years. Poorly cemented: loose to slightly compact. Surfaces either permanently abandoned or flooded infrequently by channel avulsions in distributary streams at centennial to millennial intervals,
Qyay,,Younger young alluvial fan deposits (Holocene),"Microtopography fairly rough in much of fan consisting of remnants of bar-and-swale topography, with largest clasts concentrated in the elevated bars. No desert pavement. Poorly developed soil, expressed as incipient sandy Av horizon; no significant B or C horizon development in soil profile. On aerial photographs shows as large areas of uniform, moderate albedo, with low-albedo speckling due to vegetation. Smaller patches show as moderate albedo areas between high-albedo active alluvial deposits and low-albedo desert pavements. Vegetation moderately abundant, typically including creosote bush (Larrea tridentata), and white bursage (Ambrosia dumosa). Less frequently, and at higher elevations, includes cheesebush (Hymenoclea salsola), ratany (Krameria parvifolia), Mojave yucca (Yucca schidigera), Mormon tea (ephedra viridis), and pencil, silver, and teddybear cholla (Opuntia arbuscula, echinocarpa, and bigelovia). Rodent burrows are ubiquitous throughout the map unit, especially around creosote bushes. Biological soil crusts locally dense, spanning several to tens of square meters, often concentrated near the edges separating - units",
Qyad,,Young alluvial fan debris-flow deposits (Holocene and latest Pleistocene),"Muddy sand containing scattered pebbles, cobbles, and boulders; poorly sorted and poorly stratified. Mainly deposited by debris flows, but large-volume deposits may grade laterally or vertically into weakly stratified, moderately sorted hyperconcentrated stream deposits. Coarse levee deposits form where flows overtop banks. Flows may also divert streams by plugging channels. Difficult to distinguish from Qyay on aerial photographs; surfaces may appear slightly rougher on stereoscopic photo images. Mapped only where determined from field observations; hence more widespread than shown",
Qyayd,,Younger young alluvial fan debris-flow deposits (Holocene),"Deposit surfaces very rough, with steep-sided levees and depositional lobes. Coarse, boulder-sized particles are concentrated near surge fronts; interiors are also boulder-studded. Weak Av horizon. Poorly vegetated. Deposits occur along mountain front northwest of Broadwell Lake",
Qyag,,Young alluvial fan grus deposits (Holocene and latest Pleistocene),"Moderately sorted to well-sorted coarse sand to fine gravel derived from granitic sources that weather to grus. Surface morphology undulating and smooth, with little dissection and minimal soil development. Maximum clast size does not vary appreciably with distance from mountain front. Especially common downslope of Early Proterozoic granitoids and associated pegmatites. Compared to unit Qya, there is less soil development and less incision near mountain fronts than unit Qyay",
Qyayg,,Younger Young alluvial fan grus deposits (Holocene),"Incipient Av horizon, if present, is sandy. Lacks B and C horizon",
Qyao,,Older young alluvial fan deposits (early Holocene and latest Pleistocene),"Deposits have surfaces that have been primarily abandoned for the last ten thousand years, characterized by small patches of weakly to moderately developed pavement with slightly dark varnish. Soil profile has 1–4 cm thick Av horizon, typically somewhat sandy, with a Bw horizon and stage I to II calcic development in C horizon. Deposits typically are incised by active deposits. Bar-and-swale topography moderately subdued, with flattened bars and incipient pavement in swales. Slightly dark varnish, resulting in moderate to moderately low albedo, may resemble slightly darkly varnished intermediate alluvial deposits but is typically dissected by a denser network of active alluvial channels. Moderately vegetated to well-vegetated, similar to Qyay. Dense biological soil crusts locally span several square meters",
Qyaod,,Older young alluvial fan debris-flow deposits (early Holocene and latest Pleistocene),"Soil profile consists of Av horizon 1–4 cm thick, typically somewhat sandy; weak Bw horizon; and stage I to II calcic C horizon. Surfaces are moderately rough, with steep-sided levees and depositional lobes, but topography is somewhat subdued due to diffusive processes. Difficult to distinguish from Qyay on aerial photographs; sometimes displays slightly rougher textures in stereo. Mapped only where determined from field observations; deposits are much more widespread than shown",
Qyaog,,Older young alluvial fan grus deposits (early Holocene and latest Pleistocene),"Characterized by weakly developed pavements that generally lack varnish. Soil development is intermediate between Qyay and Qyao. Av horizon is sandier and more weakly developed than Qyao, Bw horizon is poorly developed, and calcic horizon development is no greater than stage I to II",
Qia,,Intermediate alluvial fan deposits (late and middle Pleistocene),"Poorly to moderately sorted fine sand to boulder gravel; deposits have surfaces that have been abandoned for tens to many tens of thousands of years. Clasts mostly subangular to subrounded, coarsening uphill toward mountain fronts. Deposits typically compact, but may be loose where bioturbated. Bar-and-swale topography replaced via diffusive processes with broad, flat, surfaces, that contain exposed clasts. Light grey-brown to dark brown depending on lithology and degree of varnish. Top of unit is incised by low to moderately dense channel networks; younger surfaces are locally inset along channel margin. Moderately to strongly developed desert pavement, with moderately dark to dark varnish. Underside of exposed clasts shows weak to strong rubification. Well-developed Av horizon (>5 cm thick), composed of silt, very fine sand, and clay, with 2–5 cm platy peds. Pavement, varnish, and Av horizon subdued to absent at altitudes above approximately 1,100 m; Bt horizon thicker and K horizon thinner at high elevation. Sparsely to moderately vegetated, abundance and species diversity increasing with elevation. Dominant species are creosote bush (Larrea tridentata) and white bursage (Ambrosia dumosa); also common are Mojave yucca (Yucca chidigera) and buckhorn cholla (Opuntia acanthocarpa var. coloradensis)",
Qiay,,Younger Intermediate alluvial fan deposits (late Pleistocene),"Depositional surfaces that have been abandoned for tens of thousands of years. Geomorphic surfaces are incised by low to moderately dense channel networks, >2 m high in proximal fan environments, several centimeters or more in distal fan environments; younger surfaces are locally inset along channel margin. Moderately to strongly developed interlocking desert pavement with moderately dark to dark varnish on clasts. Underside of exposed clasts shows weak to strong rubification. Moderately to well developed Bt , Btk, or Btq horizon. Stage II to III+ carbonate accumulation in K horizon (locally may be as weak as stage I+ in areas of low carbonate influx). On aerial photographs appears as elongate, very low albedo patches of desert pavement cut by high-albedo active channels. Extensive bioturbation tends to inhibit pedogenesis at high elevations where black brush (Coleogyne ramosissima) is abundant; in such areas Qiay may be distinguished from younger deposits using alternate criteria, such as geomorphic position and weathering of surface clasts",
Qiad,,Intermediate alluvial fan debris-flow deposits (late and middle Pleistocene),Alluvial deposits dominated by debris flows; poorly sorted deposits consisting of boulders and smaller clasts encased in sand and silt matrix,
Qiayd,,Younger Intermediate alluvial fan debris-flow deposits (late Pleistocene),"Sedimentologic characteristics similar to Qyad, but pavement and soil profile similar to Qiay. Mapped only where verified by field observations, hence more widespread than shown",
Qiag,,Intermediate alluvial fan grus deposits (late and middle Pleistocene),"Coarse sandy to gravelly deposits derived from granitic sources that weather to grus. Surface broadly undulating, gently rounding downward into active alluvial deposits that form low to moderately dense channel networks cutting the surface. Although diagnostic inset relations are rare, exposed B horizons within inset younger channels denote the surface is being incised. In contrast to the general unit Qia, Qiag lacks or has a very weakly developed desert pavement, with no or slightly dark desert varnish. Underside of exposed clasts shows weak rubification. Av horizon is sandy, Bt horizon is moderately to well developed",
Qiayg,,Younger Intermediate alluvial fan grus deposits (late Pleistocene),Moderately-developed B horizon (Bw or Bt). Carbonate accumulation in the K horizon is stage I to II,
