code,grouping,title,description,lithology
Qa,,Active alluvium (Holocene),"Silt- to boulder-size, moderately rounded to well-rounded, moderately sorted to well-sorted sediments forming channel and overbank deposits in modern floodplains. Maximum thickness greater than 5 m",
Qlsy,,Young landslide deposit (Holocene),"Mostly unsorted, unstratified debris deposited by recent and potentially active landslides. Deposits commonly have hummocky topo- graphy. Landslide scar partially vegetated to unvegetated, indicated landsliding less than several tens of years old. About 10–20 m thick",
Qw,,Wetland deposit (Holocene),"Brown to black, organic-rich, commonly water-saturated soil in flat to nearly flat areas. Only one deposit mapped in Sawmill Mountain quadrangle (Kellogg and Miggins, 2002)",
Qac,,"Alluvium and colluvium, undivided (Holocene and late Pleistocene)","Mapped where modern alluvium in small channels and sheetwash alluvium on gentle slopes are intimately intermixed with, or difficult to differentiate from, colluvium. Colluvium composed of poorly sorted, poorly bedded to non-bedded, non-indurated, dark-brown to light-gray-brown, angular boulders, cobbles, and pebbles in light-brown clay, silt, and sand matrix that mantle gently to moderately sloping surfaces and are intermixed by downslope movement of weathered bedrock or other surficial deposits. Includes minor loess. Deposits commonly capped by moderately developed to well-developed soil profile. Recognized mostly in eastern part of map (Kellogg, 1999, 2003; Kellogg and Miggins, 2002). Many smaller deposits not mapped. Maximum thickness probably less than 10 m",
Qls,,Landslide deposit (Holocene and late Pleistocene),"Ranges from poorly sorted, unstratified to poorly stratified, clay- to boulder-sized consolidated debris. In places, includes almost intact slumped blocks of bedrock as long as several tens of meters. Younger landslide deposits maintain hummocky topography and have identifiable breakaway scarps. Older landslide deposits generally are deeply dissected with rounded topography. Thickness about 10 m to greater than 50 m",
Qya,,Younger (inactive) alluvium (Holocene and late Pleistocene),"Mostly inactive alluvial silt, sand, and gravel, unconsolidated, poorly stratified to well stratified, lenticular. Mapped adjacent to active alluvium in terraces at least 2 m above most active channels. Locally includes narrow channels of active alluvium (Qa). Maximum thick- ness unknown, but at least 70 m under Cuyama Valley (Vedder and Repenning, 1975). Includes younger fan deposits (Qf1) of Kellogg and Miggins (2002) and younger alluvium (Qya) of Vedder (1968) and Vedder and Repenning (1975)",
Qoa,,Older alluvium (late and middle? Pleistocene),"Clay, silt, sand, and gravel, poorly to partially consolidated, poorly stratified to well-stratified. Highly dissected and slightly deformed in places; includes small, unmapped areas of active alluvium (Qa) and younger alluvium (Qya). Includes older fan deposits (units Qf1, Qf2, and Qf3) of Cuddy Valley (Kellogg, 2003) and Sawmill Mountain (Kellogg and Miggins, 2002) quadrangles, including alluvium of San Emigdio Mesa, which is tentatively correlated (Davis, 1983) with the 0.13 to 0.45 Ma Riverbank Formation of northeastern San Joaquin Valley (Marchand and Allwardt, 1981). Includes older alluvium (Qoa) and older gravel deposits (Qog) of Dibblee (1972, 1973, 1985a, 1985b, 1986a, 1986b, 1987, 1996). As thick as 60 m",
QTa,,"Old alluvium, locally deformed (Pleistocene and late Pliocene?)","Light-brown, weakly indurated alluvial sand and gravel. Includes deformed alluvial deposits (Qn) of Vedder and Repenning (1975), older deformed alluvium (Qns) of Vedder (1968), and Paso Robles Formation of Dibblee (1972). May include beds that are, in part, equivalent to Pleistocene and Pliocene Morales Formation (QTm). In places at least 100 m thick",
QTd,,Boulder diamicton (Pleistocene and late Pliocene?),"Unsorted to poorly sorted, massive to poorly stratified, unconsolidated deposit containing subangular to subrounded clasts of local origin. Mapped only in Lockwood Valley quadrangle (Kellogg, 1999) and Cuddy Valley quadrangle (Kellogg, 2003). Clasts are mostly granite of Lockwood Peak (Kgl) and, subordinately, augen gneiss of Frazier Mountain (Xag) and are as long as 3 m, although most are considerably smaller. Matrix is pale-tan grus (disintegrated granitic rocks). Forms hilly topography. Mapped by Dibblee (1979) in most places as boulder gravel member of Miocene Caliente Formation (Tc), but in places overlies Pliocene Quatal Formation (Tq) so younger age indicated. Mapped as “terrace deposits” by Carman (1964), but these deposits lack terrace morphology and alluvial origin is not clear. Debris may have been shed from crystalline thrust sheets during south-directed thrusting of Frazier Mountain and South Frazier Mountain thrusts, which were active as recently as the early Pleistocene (Dibblee, 1982). Thickness as much as about 100 m",
Tc,,"Caliente Formation, undivided (upper Miocene)","Lithologically diverse fluvial sedimentary rocks exposed in an overturned syncline in footwall block of Pine Mountain fault (Minor, 2004). Conformably(?) overlies and locally intertongues with marine sedimentary rocks of Santa Margarita Formation. Late Miocene age of Caliente south of Pine Mountain Fault is inferred from late Miocene marine fossils from underlying Santa Margarita Formation",
Tsm,,Santa Margarita Sandstone (upper and middle? Miocene),"Marine rocks of Santa Margarita Sandstone overlie rocks of Monterey Forma- tion (Tm) with slight angular discordance (Minor, 2004)",
Tsmg,,"Santa Margarita Sandstone, gypsum member (upper and middle? Miocene)","Greenish-gray, medium to thin-bedded gypsum with common white, coarsely crystalline gypsum partings. Maximum exposed thickness about 25 m",
Tsms,,"Santa Margarita Sandstone, sandstone and mudstone member (upper and middle? Miocene)","Interbedded white to light-tan, fine- to coarse-grained, thick- to medium-bedded, laminated to massive, crossbedded in places, fossiliferous, arkosic sandstone and subordinate brown, thin-bedded, locally phosphatic mudstone and lesser siltstone (Minor, 2004). Lower sandstone sequence contains abundant shallow-water marine molluscan fossils, including large oysters (Crassostrea titan), and foraminifera that together indicate a late Miocene (Mohnian) age (Vedder and others, 1973). Recent magnetostratigraphic studies, however, suggest that Santa Margarita Sandstone was deposited during middle and late Miocene chron C5r (11.0–11.8 Ma) (Wilson and Prothero, 1997), in disagreement with fossil evidence. Maximum thickness about 120 m",
Tib,,Intrusive basalt (Miocene),"Altered vesicular basalt in sill-like body as thick as 30 m on west edge of map in Big Pine Mountain quadrangle (Vedder and others, 1995). Intrudes Monterey Formation (Tm), so is probably Miocene in age. Smaller (1 m thick) basalt intrusive also mapped near Indian Creek in Big Pine Mountain quadrangle",
Tm,,"Monterey Formation, undivided (middle and lower Miocene)","Light-gray to light-tan, thin-bedded, siliceous to dolomitic marine shale, mudstone, and siltstone. Weathers into white, silicic plates. Benthic foraminifera and calcareous nanoplankton collected from near Big Pine fault indicate middle Miocene age (Minor, 2004). Total thickness about 400 m near Big Pine fault (Minor, 2004); about 250 m thick in Little Pine Mountain Quadrangle (Dibblee, 1986a)",
Tms,,"Monterey Formation, sandstone member (middle Miocene)","Beige to light-gray, friable, and poorly cemented, medium- to thin-bedded, tabular, locally crossbedded, fine- to coarse-grained marine sandstone. Locally carbonate cemented. Contains abundant molluscan fossils of probable middle Miocene age (Vedder and others, 1973). Thickness about 50 m",
Tml,,"Monterey Formation, lower calcareous member (middle and lower Miocene)","Occurs in two areas. Near eastern border of map, consists of gray, thin-bedded, fissile, semi-siliceous to hard shale; includes yellowish dolomitic concretions and lenses (Dibblee, 1996). Weathers nearly white and platy. Contains middle and lower Miocene (Relizian and Saucesian) benthic foraminifera. In western part of quadrangle, consists of soft, fissile, semi-siliceous clay shale with thin interbeds of siliceous shale and limestone. Contains Luisian and Relizian benthic foraminifera (Dibblee, 1986a, 1986b). Thickness about 200 m in Little Pine Mountain quadrangle (Dibblee, 1986a)",
Tmls,,Limestone of Bee Rock (lower Miocene),"Light-gray massive, hard, algal limestone with a few thin interbeds of dark-gray, cherty shale. Crops out very locally in Little Pine Mountain quadrangle (Dibblee, 1986a). As thick as about 35 m",
Tmsu,,Unnamed sandstone (lower Miocene),"Light-gray to tan, fossiliferous, arkosic marine sandstone, locally calcareous. Lower part conglomeratic in places; upper part contains minor shale interbeds. Contains Relizian and Saucesian microfossils (Dibblee, 1986a). Formerly mapped as Temblor Sandstone (Tt) (Dibblee, 1966). Thickness about 130 m",
Tr,,Rincon Shale (lower Miocene),"Grayish-brown clay marine shale, locally silty, micaceous, poorly bedded, crumbly where weathered; locally contains yellow dolomitic concretions. Contains Saucesian and upper Zemorrian microfossils (Dibblee, 1986a, 1996). Thickness about 370 m in eastern Lion Canyon Quadrangle (Dibblee, 1987), but pinches out to west in northern Wheeler Springs quadrangle (Vedder and others, 1973). Two lenses, each as thick as 150 m, that interfinger with Vaqueros Formation (Tv) tentatively mapped as Rincon Shale in western Little Pine Mountain quadrangle (Dibblee, 1986a)",
Trp,,"Rincon Shale, Piedra Blanca Sandstone Member (lower Miocene)","Light-gray, crossbedded marine sandstone. In eastern part of quadrangle, forms prominent, very light tan rounded outcrops. About 150 m thick in eastern Lion Canyon quadrangle (Dibblee, 1987)",
Tv,,"Vaqueros Formation, undivided (lower Miocene and upper Oligocene)","Massive to thick-bedded, tan to light-greenish-gray marine sandstone and minor siltstone; locally calcareous. Zemorrian Stage (Dibblee, 1986a and 1986b, 1996). Unconformably overlies Sespe Formation (Tsp). As thick as about 150 m in southeastern part of quadrangle. Interfingers with Rincon Shale (Tr) in Little Pine Mountain quadrangle, where unit is about 500 m thick. Estimated thickness less than 30 m in Salisbury Potrero quadrangle (T.W. Dibblee, Jr., unpub. mapping, no date)",
Tsp,,Sespe Formation (Oligocene and upper Eocene?),"Interbedded maroon to brown, locally tan, crossbedded, fluvial conglomerate, sandstone, siltstone and claystone. Finer-grained beds maroon, brown, and greenish gray. Locally forms prominent, commonly reddish-brown outcrops. Conglomeratic beds, which are found only in lower part, are divided into two sequences, locally separated by an unconformity, based on studies near Santa Barbara (Howard, 1995). However, lower conglomerate member is not mapped everywhere. Predominantly Oligocene, but basal part may be upper Eocene. Thickness variable; about 400–460 m in Wheeler Springs quadrangle (Dibblee, 1985b). As thick as 600 m in Little Pine Mountain quadrangle (Dibblee, 1986)",
Tspc,,"Sespe Formation, Lower conglomeratic member (Oligocene and upper Eocene?)","Mostly interbedded, crossbedded, maroon to reddish-brown, locally tan (especially in lowest part) conglomerate, conglomeratic sandstone, and sandstone; contains minor, thin shale or mudstone beds. Lowest part contains clasts of mostly granitic rocks, porphyritic volcanic rocks and quartzite, suggestive of an eastern (Mojave) source; upper conglomeratic sequence contains abundant chert and graywacke clasts, indicating a Franciscan Complex source (Howard, 1995). About 175 m thick in Wheeler Springs quadrangle (Dibblee, 1985b)",
Tcw,,"Coldwater Sandstone, Sandstone member (upper Eocene)","Well-indurated, tan to light-gray, massive to crossbedded, thick- to thin-bedded, arkosic, marine sandstone with minor interbeds of greenish-gray siltstone and shale. Contains Narizian foraminifera",
Tcwm,,"Coldwater Sandstone, Mixed sandstone and shale member (upper Eocene)","Interbedded tan, thin-bedded, fine-grained marine sandstone and greenish-gray micaceous siltstone and shale",
Tcd,,Cozy Dell Shale (upper Eocene),"Predominantly marine shale with minor interbedded sandstone. Contains foraminifera assigned to Narizian Stage and Penutian or lower part of Ulatisian Stages (Vedder and others, 1973). Maximum thickness about 500 m. Gray to grayish-tan, argillaceous to silty, micaceous marine shale and minor, thin, fine-grained marine sandstone. Weathers grayish-brown with abundant brown silty chip",
Tcds,,"Cozy Dell Shale, Sandstone member (upper Eocene)","Tan, thin- to thick-bedded sandstone similar to Coldwater Sandstone (Tcw). Less than 60 m thick",
Tma,,Matilija Sandstone (upper and middle Eocene),"Predominantly thick-bedded marine sandstone as thick as about 500 m. Tan, mostly thick-bedded, well-indurated, medium- to fine-grained, massive to crossbedded, feldspathic, marine sandstone, containing thin layers or partings of clay shale. Prominent cliff-forming unit. Tejon and Domengine molluscan stages (Squires, 1987)",
Tmas,,"Matilija Sandstone, Shale and sandstone member (upper and middle Eocene)","Clay shale similar to Cozy Dell Shale (Tcd) and interbedded, thin, tan arkosic sandstone beds",
Tj,,"Juncal Formation, undivided (middle and lower? Eocene)","Gray, greenish-gray, and grayish-tan marine conglomerate, quarzofeldspathic marine sandstone, micaceous siltstone and clay shale in thin to thick (as thick as several tens of meters) interbeds. Weathers tan with abundant iron-oxide (rusty) coatings on fractures. Minimum total thickness in Reyes Peak quadrangle 1,500 m (Minor, 2004)",
Tjs,,"Juncal Formation, Sandstone member (middle and lower? Eocene)","Tan, medium- to fine- grained, thin- to medium-bedded, well-indurated feldspathic marine sandstone; rare pebble conglomerate",
Tjsh,,"Juncal Formation, Shale member (middle and lower? Eocene)","Gray to dark-gray, clayey to silty, micaceous, marine shale, locally containing thin, fine-grained sandstone beds",
TKs,,Mudstone and minor sandstone (lower Eocene to Upper Cretaceous),"Grayish-brown, mostly thin to medium-bedded or indistinctly bedded, clayey to silty, micaceous marine mudstone containing thin- to thick-bedded, very fine grained to coarse-grained sandstone beds (finer-grained varieties micaceous), increasing in abundance up section. Commonly calcareous and contains algal detritus in lower part. Base poorly exposed in Big Pine Mountain quadrangle and contact with overlying Eocene rocks gradational (Vedder and others, 1995)",
Tsb,,Sierra Blanca Limestone (upper Paleocene),"Hard, massive, medium- to thick-bedded, gray, white-weathering, locally sandy, algal limestone. Commonly brecciated and recemented; sparingly glauconitic locally. Contains upper Paleocene foraminifera and calcareous nannofossils (Vedder and others, 1995). In places, interbedded with mudstone and minor sandstone (TKs) in southwestern part of map area. As thick as about 130 m",
Kmd,,Mudstone and minor sandstone (Upper Cretaceous),"Grayish-brown, mostly thin-bedded to indistinctly bedded, micaceous mudstone and thin-bedded marine sandstone. Contains Maastrichtian to Coniacian calcareous nannofossils",
Kms,,Sandstone and minor mudstone (Upper Cretaceous),"Tan, fine-grained to very coarse grained, thin- to thick-bedded, crossbedded to massive, lenticular-bedded, feldspathic marine sandstone, locally conglomeratic. Contains minor interbeds of silty or clayey micaceous mudstone; silty rip-up clasts common (Vedder and others, 1995). Similar to mudstone and subordinate sandstone (Ksm) of Domain 2 but mapped separately because intervening Big Pine fault marks major tectonic boundary (Vedder and others, 1995)",
Kcg,,Conglomerate (Upper Cretaceous),"Lenticular and interbedded with sandstone; contains well-rounded pebbles, cobbles, and boulders composed of porphyritic siliceous volcanic rocks, granitoid rocks, and sparse quartzite in a sandy feldspathic matrix (Vedder and others, 1995)",
KJe,,Espada Formation (Lower Cretaceous and Upper Jurassic),"Dark greenish-gray, thin-bedded shale with thin interbeds of well-indurated, olive-gray feldspathic marine sandstone. Contains carbonaceous material along bedding planes. Locally contains concretions, minor pebble conglomerate beds, and thin lenses and beds of impure, dark-gray limestone. Rest unconformably on rocks of Franciscan Complex in southwestern part of map area. Greater than 1,000 m thick",
Jfs,,"Franciscan Complex, Serpentinite (Jurassic)","Interpreted to be part of a subduction complex (accretionary mélange) that, in part, rose along the Little Pine fault and core of the Agua Caliente anticline. Strongly sheared, green to black, serpentinite and serpentinized ultramafic rocks, locally altered to silica-carbonate rock near Santa Ynez River (Dibblee, 1986a)",
Jfw,,"Franciscan Complex, Graywacke (Jurassic)","Greenish-brown, well indurated, graywacke and dark-gray micaceous siltstone and shale; in most places moderately to severely sheared",
Jfg,,"Franciscan Complex, Greenstone (Jurassic)","Greenish-brown to black, mostly massive, fine-grained greenstone (meta-basalt); in most places moderately to severely sheared",
Jfc,,"Franciscan Complex, Chert (Jurassic)","Varicolored green, red, and white, thin-bedded, hard, strongly fractured chert; bedding strongly folded",
Tqs,,"Quatal Formation, Upper sandstone member (Pliocene)","Nonmarine. Thickness highly variable; combined thickness as much as about 670 m in Fox Mountain quadrangle (Vedder, 1968). Mostly yellowish-gray and brownish-gray, poorly indurated, thin- to thick-bedded, muddy sandstone and pebbly nonmarine sandstone. Chiefly conglomerate in lower part; clasts derived almost entirely from Eocene sandstone",
Tqcc,,"Quatal Formation, Coarse conglomerate member (Pliocene)","Brown, massive to weakly bedded, very coarse conglomerate composed entirely of sub-rounded cobbles and boulders as long as 1 m; clast-supported and matrix-supported varieties both occur",
Tqb,,"Quatal Formation, Brown clay member (Pliocene)","Dark-brown, massive claystone and silty claystone; very poorly indurated; weathers to a “popcorn” soil; contains numerous gypsum-filled fractures. May be lateral equivalent of Lockwood Clay (Tlc)",claystone
