code,title,grouping,formation,description
Qaf,Artificial fill (Quaternary),,,"Of varying character, consisting of clay, silt, sand, rock fragments, organic material, and (or) man made debris. Distinguished on map only in southern Marin and San Francisco Counties; but present elsewhere, especially within unit Qmf."
Qmf,Artificial fill over marine and marsh deposits (Quaternary),,,"Mud similar to unit Qm overlain by artificial fill, the limits of which are not mapped. Landward boundary is historic margin of bay marshlands from Nichols and Wright (1971)"
Qs,Beach sand (Quaternary),,,Well to moderately sorted; loose to soft
Qd,Dune sand (Quaternary),,,Well sorted; loose to soft
Qm,Marine and marsh deposits (Quaternary),,,"Mud, including much organic material, silty mud, silt, and sand; very soft to soft where wet. Only exposed east of Tomales Bay"
Qls,Landslide deposits (Quaternary),,,Largely bedrock debris
Qal,Alluvium (Quaternary),,,"Sand, gravel, silt, and clay; loose to soft and friable"
Qsr,Slope debris and ravine fill (Quaternary),,,"Angular rock fragments in sand, silt, and clay matrix; generally light yellow to reddish-brown. Only mapped in San Francisco"
Qu,Undifferentiated surficial deposits (Quaternary),,,"Includes beach sand, marine deposits, artificial fill, alluvium, landslides, and, in South San Francisco quadrangle, some Colma Formation"
Qr,Volcanic gravel (Quaternary),,,Contains large angular blocks of rhyolite derived from unit Tsri; present only in northeast corner of Petaluma River quadrangle
Qob,Older beach deposits (Quaternary),,,"Predominantly well-sorted, medium- to coarse-grained, gray sand"
Qoal,Older alluvium (Quaternary),,,"Poorly sorted sandstone and conglomerate; poorly indurated; lens-shaped bedding irregularly present, crossbedding common; locally contains small wood fragments along San Andreas fault zone; includes thinly laminated siltstone or claystone with interbedded gravels"
Qt,Marine and stream terrace deposits (Quaternary),,,"Variably sorted and bedded sand, silt, and gravel; soft to poorly indurated. In the mapped area, this unit only crops out northwest of Stinson Beach"
Qmi,Millerton Formation (Quaternary),,,"Deeply weathered, poorly indurated, marine and freshwater clay, silt, gravel, and conglomerate; maximum thickness about 20 m; exposed along Tomales Bay"
Qc,Colma Formation (Quaternary),,,"Fine- to medium-grained sand with minor amounts of sandy silt, clay, and gravel as interbeds. Sand is well sorted, soft, and friable; occurs on Angel and Yerba Buena Islands and in San Francisco"
QTm,Merced Formation (early Quaternary and late Pliocene),,,"Soft, buff-weathering, blue-gray siltstone with fine-grained silty sandstone in upper part; siltstone contains friable, fine-grained, clayey sandstone, some beds of shale pebble conglomerate, scattered calcareous concretions commonly containing fossils, and carbonized wood; sandstone is crossbedded and contains scattered layers of rounded pebbles and of shell fragments. Occurrence restricted to San Andreas Fault Zone"
Tsc,Santa Cruz Mudstone (late Miocene),,Santa Cruz Mudstone,Thin- to thick-bedded and faintly laminated olive-gray to pale- yellowish-brown marine siliceous mudstone with thin elongate carbonate concretions
Tm,Monterey Shale (late and middle Miocene),,Monterey Shale,"Siliceous shale and minor chert; shale weathers white to gray or pinkish brown and is commonly laminated to thin bedded, variously micaceous, silty, porcelaneous, or cherty and locally contains calcareous concretions or sandstone or siltstone interbeds; chert is dark gray-brown and laminated, with thin shale and sandstone interbeds; fish scales, carbonaceous material, and molds of foraminifers, diatoms, and fish remains are variably present"
Twg,Wilson Grove Formation (Pliocene),,,"Structureless to poorly bedded, firm sandstone, light gray where fresh, weathering grayish or pale yellowish orange; mostly fine-grained to very fine grained with moderate to good sorting; local thin pebble lenses near base, and, in western part of area, about 7 to 10 m of thick-bedded, coarse-grained to very coarse grained, locally pebbly sandstone that forms resistant outcrops"
Tps,"Petaluma Formation (Pliocene), Siltstone and claystone member",,Petaluma Formation,"Unbedded claystone, siltstone, and mudstone containing thick lenses of friable, cross-bedded, well-sorted sandstone and pebble conglomerate; pebbles consist of Franciscan lithologies, laminated siliceous shale and chert, and volcanic rock; unit includes a structureless vitric tuff bed about 3 to 8 m thick that consists largely of pumice lapilli and glass shards; brackish and fresh water molluscs occur locally, and vertebrate fossils of Hemphillian (early Pliocene and late Miocene) and Blancan (early Quaternary and late Pliocene) age have been found outside the map area"
Tpc,"Petaluma Formation (Pliocene), Gray claystone member",,Petaluma Formation,"Gray claystone, unbedded to locally laminated with common thin interbeds of micritic ostracodal, or pisolitic limestone, and rare interbeds of tuffaceous mudstone. Ostracoda are abundant in some beds, fish remains are common, and thin-shelled mollusks are found locally"
Tsv,Sonoma Volcanics (Pliocene and Miocene),,Sonoma Volcanics,"Undifferentiated, includes rock near Burdell Mountain with a K-Ar age of 11.8 Ma (Mankinen, 1972)."
Tsr,"Rhyolite lava flows, Sonoma Volcanics (Pliocene and Miocene)",,Sonoma Volcanics,Locally contains intercalated rhyolite tuff
Tsri,"Rhyolite plugs and dikes, Sonoma Volcanics (Pliocene and Miocene)",,Sonoma Volcanics,May in part be extrusive
Tsa,"Andesite and basalt lava flows, Sonoma Volcanics (Pliocene and Miocene)",,Sonoma Volcanics,
Tst,"Pumiceous ash flow tuff, Sonoma Volcanics (Pliocene and Miocene)",,Sonoma Volcanics,"Locally partly welded, with intercalated bedded tuff"
Ts,Sandstone (Miocene),,,"On Burdell Mountain: calcareous, fine-grained tuffaceous sandstone, locally containing fossiliferous medium- to coarse-grained pebbly sandstone at base. Near San Antonio Creek: calcareous, medium- and fine-grained sandstone and siltstone with locally abundant barnacle plates and molluscan fragments, and fossiliferous, very coarse-grained, pebbly sandstone"
Kfs,Sandstone and shale (Cretaceous),Franciscan Complex,,"Sandstone and interbedded shale, with minor conglomerate; crops out in alternating sequence of largely medium-thick to very thick sandstone beds with generally minor interbedded shale and predominantly shale with interbedded thin to medium-thick sandstone beds; rock is locally severely sheared or brecciated but lacks tectonic inclusions of other rock types such as greenstone and chert which are common in unit fsr; thicker sandstone beds are medium- to coarse-grained arkosic wacke containing 2 to 25 percent detrital potassium feldspar, but commonly 2 to 5 percent, whereas thinner sandstone beds are fine grained, quartz rich wacke, and contain 0 to 2 percent detrital potassium feldspar; sandstone is light gray where fresh, weathering to buff colors, and shale is commonly dark gray; laumontite veins, calcite veins, and microscopic secondary prehnite and (or) pumpellyite are common in sandstone. Rocks of this unit typically form resistant topography. Excellent exposures occur in the quarry at Point San Pedro."
Kfss,Massive sandstone (Cretaceous),Franciscan Complex,,Thick-bedded and massive graywacke sandstone interbedded with thin layers of fissile shale and fine-grained sandstone; some thick conglomerate lenses
Kfsh,Thin-bedded sandstone and shale (Cretaceous),Franciscan Complex,,Predominantly interbedded and laminated shale and fine-grained sandstone; beds generally 5 to 13 cm thick
Kfl,Limestone and chert (Cretaceous),Franciscan Complex,,"Interbedded, thin-bedded gray limestone and black, red, green, and gray radiolarian chert. Beds are mostly less than 0.5 m thick. Restricted in study area to two small masses in the San Andreas Fault Zone between Olema and Bolinas. Foraminifera from this unit south of the study area indicate that the limestone formed near the equator during the Early (Barremian) and Late (Turonian) Cretaceous epochs (Wentworth and others, 1998a)"
Kfg,Greenstone (Cretaceous),Franciscan Complex,,"Consists of pillow lava and less abundant tuff, breccia, and intrusive basalt, interlayered with pelagic limestone (Kfl) and diabase dikes (Kfdb)"
Kfch,Chert (Cretaceous),Franciscan Complex,,"Red chert with shale interbeds. Locally altered and recrystallized, with manganese mineralization present in many outcrops. This unit crops out only in three lenses southwest of Hamilton Air Force Base"
Kfgwy,Graywacke (Cretaceous),Franciscan Complex,,"Graywacke, shale, and some metagraywacke; sandstone contains 0 to rarely as much as 5 percent detrital potassium feldspar. Coherent graywacke masses are as large as several miles long, but distribution largely unknown, and only locally distinguished on map. In southern Marin County and parts of San Francisco, graywacke and shale are well-bedded, up to 300 m thick, and overlie chert and greenstone."
Kfdb,Diabase (Cretaceous),Franciscan Complex,,"Finely crystalline mafic dike rock, thought to be a fragment of a sheeted dike complex (Wahrhaftig, 1984). This unit crops out only near Point Bonita"
