code,grouping,title,description
af,,Artificial fill (Historic),"Man-made deposit of various materials and ages. Some are compacted and quite firm, but fills made before 1965 are nearly everywhere not compacted and consist simply of dumped materials"
alf,,Artificial levee fill (Historic),"Man-made deposit of various materials and ages, forming artificial levees as much as 20 feet (6.5 meters) high. Some are compacted and quite firm, but fills made before 1965 are almost everywhere not compacted and consist simply of dumped materials. The distribution of levee fill conforms to levees shown on the most recent U.S. Geological Survey 7.5 minute quadrangles"
Qhasc,,Artificial stream channels (Historic),"Modified stream channels, usually where streams have been straightened and realigned, but also including those channels that are confined within artificial dikes and levees"
Qhaf1,,Younger alluvial fan deposits (Holocene),"Brown, poorly-sorted, dense, sandy or gravelly clay. Small fans at mountain fronts have a probable debris flow origin. Larger Qhaf1 fans away from mountain fronts may represent the modern loci of deposition for Qhaf"
Qhaf,,Alluvial fan and fluvial deposits (Holocene),"Alluvial fan deposits are brown or tan, medium dense to dense, gravely sand or sandy gravel that generally grades upward to sandy or silty clay. Near the distal fan edges, the fluvial deposits are typically brown, never reddish, medium dense sand that fines upward to sandy or silty clay. The best developed Holocene alluvial fans are on the San Francisco Bay plain. All other alluvial fans and fluvial deposits are confined to narrow valley floors"
Qhb,,Basin deposits (Holocene),Very fine silty clay to clay deposits occupying flat-floored basins at the distal edge of alluvial fans adjacent to the bay mud (Qhbm )
Qhbs,,"Basin deposits, salt-affected (Holocene)","Clay to very fine silty-clay deposits similar to the Qhb deposits except that they contain carbonate nodules and iron-stained mottles (U.S. Soil Conservation Service, 1958). These deposits may have been formed by the interaction of bicarbonate-rich upland water and saline water of the San Francisco Bay estuary. With minor exceptions, salt-affected basin deposits are in contact with bay mud deposits, Qhbm"
Qhbm,,Bay mud (Holocene),"Water saturated estuarine mud, predominantly gray, green, and blue clay and silty clay underlying marshlands and tidal mud flats of San Francisco Bay. The upper surface is covered with cordgrass (Spartina sp.) and pickleweed (Salicornia sp.). The mud also contains a few lenses of well- sorted, fine sand and silt, a few shelly layers (oysters), and peat. The mud interfingers with and grades into fine-grained deposits at the distal edge of Holocene fans and was deposited during the post-Wisconsin rise in sea-level, about 12 ka to present (Imbrie and others, 1984). Estimated thickness: 0-40 m. In places it rests unconformably on bedrock"
Qhbr,,Beach ridge deposits (Holocene),"Long narrow ridge of probably well-sorted sand inferred from 1939 imagery. Observed between Emeryville and Berkeley, these deposits are now beneath the Interstate 80 roadbed"
Qhfp,,Floodplain deposits (Holocene),"Medium to dark gray, dense, sandy to silty clay. Lenses of coarser material (silt, sand, and pebbles) may be locally present. Floodplain deposits usually occur between levee deposits (Qhl) and basin deposits (Qhb)"
Qhl,,Natural levee deposits (Holocene),"Loose, moderately-sorted to well-sorted sandy or clayey silt grading to sandy or silty clay. These deposits are porous and permeable and provide conduits for transport of ground water. Levee deposits border stream channels, usually both banks, and slope away to flatter floodplains and basins. Levee deposits are best developed along San Pablo and Wildcat Creeks on the bay plain in Richmond. Abandoned levee systems have also been mapped"
Qhsc,,Stream channel deposits (Holocene),"Poorly-sorted to well-sorted sand, silt, silty sand, or sandy gravel with minor cobbles. Cobbles are more common in the mountainous valleys. Many stream channels are presently lined with concrete or riprap. Engineering works such as diversion dams, drop structures, energy dissipaters, and percolation ponds also modify the original channel. Many stream channels have been straightened, and these are labeled Qhasc. This straightening is especially prevalent in the lower reaches of streams entering the estuary. The mapped distribution of stream channel deposits is controlled by the depiction of major creeks on the most recent U.S. Geological Survey 7.5 minute quadrangles. Only those deposits related to major creeks are mapped. In some places these deposits are under shallow water for some or all of the year, as a result of reservoir release and annual variation in rainfall"
Qds,,Dune sand (Holocene and Pleistocene),"Fine-grained, very well sorted, well-drained, eolian deposits. They occur mainly in large sheets, as well as many small hills, most displaying Barchan morphology. Dunes display as much as 30 m of erosional relief and are presently being buried by basin deposits (Qhb ) and bay mud (Qhbm ). They probably began accumulating after the last interglacial high stand of sea level began to recede about 71 ka, continued to form when sea level dropped to its Wisconsin minimum about 18 ka, and probably ceased to accumulate after sea level reached its present elevation (about 6 ka). Atwater (1982) recognized buried paleosols in the dunes, indicating periods of nondeposition"
