code,title,description,grouping
ac,Artificial channel deposits (Historic),"Modified stream channels, usually where streams have been straightened and realigned. Deposits in artificial channels range from concrete in lined channels to sand and gravel similar to natural stream channel deposits (Qhc )",
ads,Dredge spoils (Historic),"This unit, mapped and described by Atwater (1982), consists of sand, locally laminated, and subordinate silt, clay, and peat that have been deposited as hydraulic dredge spoils during attempts to widen, straighten, and (or) deepen the Sacramento and San Joaquin Rivers. The large body of sand near the Montezuma Hills was probably emplaced between 1908 and 1941 (Atwater, 1982). This unit is mapped only in a few quadrangles within the San Joaquin/Sacramento Delta",
af,Artificial fill (Historic),"Undifferentiated man-made deposit of various materials and ages, including some dredge spoils, levee fill, and fill over Bay mud and also road embankments, earthen dams, and railroad grades. Some are compacted and quite firm, but fills made before 1965 are nearly everywhere not compacted and consist simply of dumped materials. Much of this unit is mapped based on topographic expression on the most recent USGS 7.5 minute quadrangles of the map area",
afbm,Artificial fill over bay mud (Historic),Artificial fill placed in the estuarine environment to create new land,
alf,Artificial levee fill (Historic),"Man made deposit of various materials and ages, forming artificial levees as much as 20 ft (6.5 m) high. Some are compacted and quite firm, but fills made before 1965 are almost everywhere not compacted and consist simply of dumped materials. Levees bordering waterways of the Sacramento/San Joaquin Delta, mudflats, and large streams were first emplaced as much as 150 years ago. The distribution of levee fill conforms to levees shown on the most recent U.S. Geological Survey 7.5-minute quadrangle maps",
Qhay,Younger alluvium (late Holocene),"Loose sand, gravel, silt, and clay deposited in active depositional environments and judged to be less than 1000 years old based on geomorphic expression or historic records of deposition",
Qha,Alluvium (Holocene),"Sand, silt, and gravel deposited in fan, valley fill, terrace, or basin environment. Mostly undissected by later erosion. Typically mapped in smooth, flat valley bottoms in medium-sized drainages and other areas where geomorphic expression is insufficient to allow differentiation of depositional environment",
Qht,Terrace deposits (Holocene),"Moderately well sorted sand, silt, gravel, and minor clay deposited in point bar and overbank settings. These deposits are as much as 10 m above the historic flood plain, but mostly undissected by later erosion",
Qhf,Alluvial fan deposits (Holocene),"Moderately to poorly sorted and moderately to poorly bedded sand, gravel, silt, and clay deposited where streams emanate from upland regions onto more gently sloping valley floors or plains. Holocene alluvial fan deposits are mostly undissected by later erosion. In places, Holocene deposits may only form a thin layer over Pleistocene and older deposits",
Qhff,Fine-grained alluvial fan deposits (Holocene),Mostly silt and clay with interbedded lenses of sand and minor gravel deposited at the distal margin of large alluvial fan complexes,
Qhc,Stream channel deposits (Holocene),"Loose sand, gravel, and cobbles with minor clay and silt deposited within active, natural stream channels",
Qhl,Natural levee deposits (Holocene),"Moderately- to well-sorted sand with some silt and clay deposited by streams that overtop their banks during flooding. Natural levees are often identified by their low, channel- parallel ridge geomorphology",
Qhfp,Floodplain deposits (Holocene),"Medium- to dark-gray, dense, sandy to silty clay. Lenses of coarser material (silt, sand, and pebbles) may be locally present. Flood plain deposits usually occur between levee deposits (Qhl) and basin deposits (Qhb ) and are prevalent in the Walnut Creek-Concord Valley, much of which is south of the map area",
Qhfb,Floodbasin deposits (Holocene),"Firm to stiff silty clay, clayey silt, and silt, commonly with carbonate nodules and locally with black spherules (Mn and (or) Fe oxides). The deposits laterally grade into peaty mud and mud of tidal wetlands (unit Qhdm ). Locally, the deposits are veneered with silty, reddish-brown alluvium of historic age, some of which may have resulted from hydraulic mining in the Sierra Nevada during the late 1800s",
Qhb,Basin deposits (Holocene),"Very fine silty clay to clay deposits occupying flat-floored basins and flat areas in the Brentwood dune field east of Antioch, where the basin deposits bury older eroded sand dunes (Qds)",
Qhbm,Bay mud deposits (Holocene),"Water-saturated estuarine mud, predominantly gray, green, blue, and black clay and silty clay underlying marshlands and tidal mud flats of San Francisco Bay and Carquinez Strait. The mud also contains lenses of well-sorted, fine sand and silt, a few shelly layers (oysters), and peat. The mud interfingers with and grades into fine-grained fan deposits at the distal edge of Holocene fans. This unit is time- transgressive and generally occupies the area between the modern shoreline and the historical limits of tidal marsh",
Qhdm,Delta mud deposits (Holocene),Mud and peat with minor silt and sand deposited at or near seal level in the Sacramento/San Joaquin River Delta. Much of the area underlain by this unit is now dry because of construction of dikes and levees and below sea level due to compaction and deflation of the now unsaturated delta sediments,
Qa,Alluvium (Holocene and late Pleistocene),"Sand, silt, and gravel deposited in fan, valley fill, terrace, or basinenvironments. SimilartounitQha,thisunitismappedwheredepositionmayhaveoccurredineither Holocene or late Pleistocene time. In Yolo County, this unit includes the Modesto and Riverbank Formations as mapped by Helley and Barker (1979)",
Qt,Terrace deposits (Holocene and late Pleistocene),"Moderately sorted to well-sorted, moderately bedded to well-bedded sand, gravel, silt, and minor clay deposited on relatively flat, undissected stream terraces. Similar to unit Qht, this unit is mapped where deposition may have occurred in either Holocene or late Pleistocene time",
Qf,Alluvial fan deposits (Holocene and late Pleistocene),"Poorly sorted, moderately to poorly bedded sand, gravel, silt, and clay deposited in gently sloping alluvial fans. Similar to unit Qhf, this unit is mapped where deposition may have occurred in either Holocene or late Pleistocene time",
Qls,Landslide deposits (Holocene and Pleistocene),"Chaotic deposits of sand, silt, clay, angular boulders, and blocks of bedrock up to hundreds of meters long deposited by gravity-driven sliding and flow. These deposits are mostly mapped based on their characteristic geomorphic expression. Only some of the larger landslide deposits are mapped, mostly where the deposits obscure the underlying bedrock. For more complete mapping of landslides see Sims and Nilsen (1972), Frizzell and others (1974), and Sims and Frizzell (1976)",
Qds,Dune sands (early Holocene and latest Pleistocene),"Very well sorted fine- to medium-grained eolian sand. They occur mainly in two large northwest-southeast trending sheets, as well as many small hills, most displaying Barchan morphology. Dunes display as much as 30 m of erosional relief and are presently being buried by basin deposits (Qhb ) and delta mud (Qhdm ). They probably began accumulating after the last interglacial high stand of sea-level began to recede about 79 ka (Imbrie and others, 1984; Martinson and others, 1987; Hendy and Kennett, 2000), continued to form when sea level dropped to its Wisconsin minimum about 18 ka, and probably ceased to accumulate after sea level reached its present elevation (about 6 ka). Atwater (1982) recognized buried paleosols in the dunes, indicating periods of nondeposition",
Qpa,Alluvium (late Pleistocene),"Poorly to moderately sorted sand, silt, and gravel in the Capay area (Esparto quadrangle). This unit is mapped on gently sloping to level alluvial fan or terrace surfaces where separate fan, terrace, and basin deposits could not be delineated. Late Pleistocene age is indicated by depth of stream incision, development of alfisols, and lack of historical flooding",
Qpf,Alluvial fan deposits (late Pleistocene),"Poorly sorted, moderately to poorly bedded sand, gravel, silt, and clay deposited in gently sloping alluvial fans. Late Pleistocene age is indicated by erosional dissection and development of alfisols. These deposits are about 10% denser and have 50% greater penetration resistance than unit Qhf (Clahan and others, 2000)",
Qpb,Basin deposits (late Pleistocene),"As mapped by Atwater (1982), older alluvium widely but sparsely exposed at the toe of the Putah Creek fan (Dozier quadrangle), most commonly in basins between stream-built ridges of younger alluvium",
Qop,Pediment deposits (late and early Pleistocene),"Thin deposits of sand, silt, clay, and gravel on broad, planar erosional surfaces. These deposits are extremely dissected, have well-developed soils, and are mostly tens or hundreds of meters above the current depositional surface",
Qoa,Alluvium (late and early Pleistocene),"Sand, silt, clay, and gravel deposits with little or none of the original geomorphic expression preserved. Moderately to extremely dissected, in places tens or hundreds of meters above the current depositional surface, and capped by well-developed soils. In Yolo County, this unit includes the Red Bluff Formation as mapped by Helley and Barker (1979)",
Kgvn,Novato Conglomerate (Early Cretaceous),"Pebble to boulder conglomerate with abundant rhyolite clasts and less abundant dark chert and granitic clasts. Minor coarse sandstone lenses and interbeds may contain more than 10% detrital potassium feldspar. The unit contains thin, vesicular basalt in outcrop west of the map area. Sandstone outcrops just west of the map area contain Early Cretaceous (Valanginian) Buchia (Berkland, 1969)",Great Valley Complex
Tor,Orinda Formation (late Miocene),"Greenish-gray lithic sandstone, conglomeratic sandstone, and conglomerate and green and maroon siltstone and claystone. Contains angular to well-rounded clasts including varicolored chert, graywacke, metagraywacke, greenstone, and glaucophane schist predominantly derived from rocks of the Franciscan Complex. South of the map area this unit contains terrestrial mammal fossils of late Miocene (Clarendonian) age (Merriam, 1913)",
