code,grouping,title,description,lithology
,Los Angeles Basin,Fernando Formation (Pliocene),"Massive marine siltstone, massive friable marine sandstone, and pebbly conglomerate (west-central San Fernando 7.5’ quadrangle). Name introduced by Eldridge and Arnold (1907); locally contains Repettian-Wheelerian (early to late Pliocene) foraminiferal zone boundary (Lamar, 1970). Durham and Yerkes (1964) described two members, upper and lower, in Puente Hills, which extend into the southeast corner of the El Monte 7.5’ quadrangle. Lamar (1970) described three informal lithologic members in Los Angeles and Hollywood 7.5’ quadrangles, here labeled members 1 (oldest) through 3 (youngest).",
Tcbs,Central and western Santa Monica Mountains (below Malibu Bowl Detachment Fault),"Calabasas Formation, Stokes Canyon Breccia Member (late middle Miocene)","Sedimentary breccia of angular boulders and cobbles of redeposited well-cemented sandstone; contains molluscan faunas diagnostic of the ""Martinez"" (Paleocene) and ""Domengine"" (middle Eocene) Stages; breccia bed is locally as thick as 60 m; underlain and overlain conformably by Calabasas sandstone and siltstone; locally overlain unconformably by basal conglomerate of Modelo Formation. Thinner, less continuous breccia beds are present at two other horizons nearby. (Stokes Canyon area, northern Malibu Beach and southern Calabasas 7.5’ quadrangles; Yerkes and Campbell, 1979, p. E22; Yerkes and Campbell, 1980)",
P_an,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Anorthosite (Proterozoic),"Medium- to very coarse-grained plagioclase rock; light gray and white; contains more than 90 percent plagioclase (andesine) and less than 10 percent mafic minerals (mostly hypersthene); grain size ranges from less than 1 mm to more than 30 cm. Associated facies include diorite, norite, and gabbro. Anorthosite and gabbro are pervasively shattered, sheared and brecciated. Barth and others (1995) indicate a general age of 1,200 Ma on the basis of dated zircons and thermobarometry, substantially older than 930 + 90 Ma and 810 + 80 Ma lead-alpha zircon ages determined by Neuerburg and Gottfried (1954). Oakeshott (1958) considered “anorthosite-gabbro complex” a result of differentiation of a single parent magma, and separated the relatively uniform “anorthosite” from a more heterogeneous map unit termed “gabbroic and noritic rocks”. Widespread in northwestern San Gabriel Mountains (Oakeshott, 1958; Jahns and Muehlberger, 1954; Ehlig, 1981)",
P_gb,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Gabbro (Proterozoic),"Gray, mottled with greenish or brownish black, and solid dark greenish and brownish black; mafic mineral content ranges from 10 percent to 65 percent of rock; compositionally ranging from gabbroic anorthosite to norite, diorite, pegmatitic hornblende gabbro, and olivine gabbro. Chiefly xenomorphic  32 granular texture; alternating felsic and mafic bands, from a few inches to several feet in thickness are common, but generally discontinuous. Feldspar is mostly calcic andesine (labradorite in more mafic rocks), in many places partly altered to albite or albite-oligoclase. Pyroxenes (and subordinate amphiboles) commonly altered to chlorite, antigorite and biotite (Oakeshott, 1958). (southwestern Agua Dulce 7.5’ quadrangle; Oakeshott, 1958)",
P_gbm,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Ilmenite-magnetite gabbro (Proterozoic),"Includes massive titanomagnetite bodies. (northern Sunland 7.5’ quadrangle; Oakeshott, 1958)",
P_gn,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Gneiss (Proterozoic?),"Alternating discontinuous dark brown biotite-rich and lightcolored quartz-feldspar-rich layers and lenses; layers generally about 2 cm thick; sheared, as expressed by an intricate structure of gneiss lenses having local small microscopic tight flow-type folds. Described by Morton (1973a) and by Crook and others (1987) as Cretaceous or older, but recently described by Morton (oral communication, 2003) as Precambrian. (northern Pasadena 7.5’ quadrangle; Morton, 1973b; Crook and others, 1987)",
P_grp,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Granite pegmatite (Proterozoic?),"Chiefly alkali granite pegmatite. Age considered by Oakeshott (1958) to be upper Jurassic(?) or lower Cretaceous(?); however, Morton (2003, oral communication) indicates the age is probably Precambrian. (southern Agua Dulce 7.5’ quadrangle; Oakeshott, 1958)",
P_mg,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Mendenhall Gneiss (Proterozoic),"Layered migmatitic felsic gneiss and mafic granulite, having rare interlayered augen gneiss and aluminous gneiss. Gneiss is characterized by large-scale foliation, fracturing, jointing, and blocky shattering. Dikes of anorthosite and associated rocks cut gneiss, and centimeter- to meterscale fragments of gneiss are scattered through the anorthosite. Most distinctive rock is dark gneiss with tint imparted by blue quartz (Oakeshott, 1958). Named by Oakeshott (1958, p. 21), who designated type locality on Mendenhall Peak. Age of Mendenhall Gneiss is greater than 1,200 Ma age of anorthosite sequence (Silver and others, 1963; Barth and others, 1995)",
PzP_ms,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Siliceous metasedimentary rock (Paleozoic or Proterozoic),"Medium-gray, metachert(?); fine-grained to microcrystalline; contact with augen gneiss is sheared; this metachert is also in contact with Echo granite. (Northeast Pasadena 7.5’ quadrangle; Smith, 1986)",
Pzgn,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Gneiss complex (Paleozoic?),"Feldspathic gneiss, including granitic to granodioritic augen gneiss, gneissic intrusive rocks of granitic to dioritic composition, amphibole-rich gneiss, and local interlayered schist, quartzite, amphibolite, and marble. Jahns and Muehlberger (1954), consider much of gneiss is of hybrid origin, and some may be part of Placerita Formation that has been closely injected by younger igneous material (Mint Canyon quadrangle)",
Pzp,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Placerita Formation (Paleozoic),"Metamorphosed sedimentary rocks, including marble, dolomite, feldspathic gneiss, graphitic marble, quartzite, calcic pyroxene hornfels and a variety of schists including feldspar-tremolite, graphite-tremolite, graphite-biotite-feldspar, and tremolite-talc. Schist and gneiss occur as septa and pendants of all sizes in granodioritic host rock, along with diorite gneiss and migmatite. The best-preserved section may be as much as 600 m thick. Named by Miller (1934), for exposures in Placerita Canyon. The age indicated by Oakeshott (1958) is pre-Cretaceous; however, Morton (oral communication, 2003) indicates the age is Paleozoic. (Central Sunland 7.5’ quadrangle, Oakeshott, 1958; southern Mint Canyon 7.5’ quadrangle, Saul and Wooton, 1983)",
Js,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Syenite (Jurassic),"Massive, dark, red-weathering augite and augite-quartz syenite; 60 to 90 percent microperthite (Oakeshott, 1958). (Acton, Agua Dulce, Sunland, and Condor Peak 7.5’ quadrangles; Oakeshott, 1958; Jahns and Muehlberger, 1954)",
Jsm,Central and western Santa Monica Mountains (below Malibu Bowl Detachment Fault),"Santa Monica Slate, undivided (late Jurassic)","Black slate, sheared metasiltstone, and fine-grained metagraywacke; intensely jointed, isoclinally(?) folded; intruded by Cretaceous granitic pluton forming contact aureole zone of phyllite and spotted cordierite slate; rare pelecypod fragments indicate late Jurassic age for part of unit (Imlay, 1963). Named by Hoots (1931, p. 88). (Van Nuys, Canoga Park, Topanga, and Beverly Hills 7.5’ quadrangles; Hoots, 1931). Includes:",
Jsmp,Central and western Santa Monica Mountains (below Malibu Bowl Detachment Fault),"Santa Monica Slate, phyllite (late Jurassic)","Chiefly mica schist and dark gray phyllite; forms inner zone of contact aureole with adjacent granitic intrusive (Beverly Hills 7.5’ quadrangle; Hoots, 1931) Central Santa Monica Mountains (Upper plate of Malibu Bowl Detachment Fault)",
Jsms,Central and western Santa Monica Mountains (below Malibu Bowl Detachment Fault),"Santa Monica Slate, spotted slate (late Jurassic)","Spotted appearance caused by large crystals of cordierite; outer zone of contact aureole surrounding nearby granitic intrusive rocks; grades to unspotted slate through a zone in which individual spots become progressively smaller outward (Canoga Park, Topanga, and Beverly Hills 7.5’ quadrangles; Hoots, 1931)",
KTRogn,Castaic Valley-Soledad Canyon and San Gabriel Mountains,Mixed tonalite and Mount Lowe intrusive suite (Cretaceous and Triassic),"Relatively uniform light-colored orthogneiss containing porphyroblasts (relict phenocrysts) of hornblende and, less commonly, potassium feldspar in a plagioclase and quartz matrix. Parent plutonic rock is (Triassic) Lowe Granodiorite and was metamorphosed during a Cretaceous orogenic event (Mount Wilson 7.5’ quadrangle; Morton, 1973a, p. 9; and D. M. Morton, oral communication, 2003)",
Kc,Santa Susana Mountains and Simi Hills,Chatsworth Formation (late Cretaceous),"Dominantly turbidite sandstone, massive, thick-bedded, medium- to coarse-grained, well-cemented; conglomeratic sandstone with rounded, polished clasts of quartzite, porphyry and granitic rocks; contains minor siltstone and conglomerate. Molluscan faunas include ammonite Metaplacenticeras californicum and gastropod Turritella pescaderosensis, referred to Campanian or Maestrichtian Stages (Popenoe, 1973; Saul and Alderson, 1981). Benthic foraminifera from mudstones in lower-middle part of the sequence are referred to late Campanian. Exposed thickness exceeds 1830 m; base neither exposed nor drilled. Overlain with slight unconformity by Paleocene strata along north side of Simi Hills, elsewhere unconformably overlain by Miocene beds. Name, Chatsworth Formation introduced and defined by Colburn and others (1981) for rocks in eastern Simi Hills near Chatsworth, that were previously mapped as “Chico Formation” or as unnamed “Upper Cretaceous Rocks” (“Chico” is a molluscan Stage name imported from central California). (Calabasas, Thousand Oaks and Oat Mountain 7.5’ quadrangles; Weber, 1984)",
