code,title,grouping,formation,description
m,"Mica schist, quartzite, calc-hornfels, and marble, metamorphic rocks (Mesozoic or Paleozoic)",,,"Mica schist, impure quartzite, calc-hornfels, and graphitic marble locally containing scheelite occur as inclusions and small roof pendants in the granodiorite and granite of Inverness Ridge.  Garnet- and sillimanite-bearing quartzofeldspathic gneiss and granofels form a septum at McClures Beach between the tonalite of Tomales Point and the granodiorite and granite of Inverness Ridge (Ross, 1977, 1978).  Although Cretaceous granitic rocks intrude these metasedimentary rocks, their age is uncertain but is probably Mesozoic or Paleozoic."
Kqd,Tonalite of Tomales Point (Upper Cretaceous),,,"Hornblende-biotite tonalite that contains dark diorite inclusions forms the basement of Tomales Point.  This rock is lithologically similar to the tonalite that crops out at Bodega Head about 10 km to the north, and both are probably part of the same granitic mass (Ross, 1978).  K-Ar dating of hornblende in the tonalite of Bodega Head yields an age of 94.3 Ma (Late Cretaceous) (Evernden and Kistler, 1970; recalculated using new constants in Dalrymple, 1979)."
Kgr,Granodiorite and granite of Inverness Ridge (Upper Cretaceous),,,"Granodiorite and granite are exposed along Inverness Ridge, where dikes and masses of aplite and alaskite are locally abundant."
Kg,Porphyritic granodiorite of Point Reyes (Upper Cretaceous),,,"Porphyritic granodiorite that crops out at Point Reyes contains K-feldspar phenocrysts that average 2 to 3 cm and are as long as 5 cm; locally this rock is not porphyritic.  The granodiorite has 2 to 12 percent biotite and hornblende, about 30 percent quartz, 25 to 35 percent K-feldspar, and the remainder plagioclase.  Chemically, it is about 70 percent Si02, 15 percent Al203, 2.6 percent Fe0, 2.8 percent Ca0, 3.3 percent Na20, and 3.4 percent K20 (from Ross in Clark and others, 1984; and Ross, 1984).  K-Ar dating of biotite in this granodiorite gives an age of 82.0 Ma (Late Cretaceous) (Curtis and others, 1958; recalculated using new constants in Dalrymple, 1979), and fisson-track dating of sphene from this rock yields ages of 82.7 ± 6.9 and 86.8 ± 7.4 Ma (Late Cretaceous) (Naeser and Ross, 1976)."
Tpr,"Marine arkosic sandstone and conglomerate, Point Reyes Conglomerate of Galloway 1977 (Paleocene)",,,"Very thick, graded arkosic sandstone beds and very thick sandy conglomerate beds, locally channelled into the sandstone, rest nonconformably on the porphyritic granodiorite of Point Reyes.  The conglomerate consist of 30 to 50 percent subangular porphyritic granodiorite clasts as much as 2 to 3 m long, 30 to 40 percent well-rounded purple and black porphyritic siliceous volcanic pebbles and cobbles, and 10 to 20 percent light-colored quartzite pebbles, with lesser red chert and black and green volcanic pebbles.  As much as 210 m of section crops out near the Point Reyes lighthouse.  These beds were probably laid down in a northwesterly-trending, upper mid-fan submarine channel complex (Clark and others, 1984).  Arenaceous benthic foraminifers in one surface sample are typical of bathyal depths and indicated to Galloway (1977) a Paleocene age. McDougall (written commun., 1997) has reinterpreted this fauna and believes that the age is early Eocene, Penutian, coeval with planktic foraminiferal zones P6b to early P9, based on the joint occurence of Karreriella elongata (=K. media-aguaensis), Pelosina complanata, Silicosigmolina californica, and Spiroplectammina directa (=S. perplexa). McDougall also examined several cores from mudstones in the Chevron Tevis well (#4 on geologic map) in the intervals from 5058 to 6097 feet where the foraminifers are better preserved, more diverse, and contain more index species than the Galloway sample. The Tevis samples are also early Eocene, Penutian, P6b, P8, and P6b to early P9."
Tl,"Marine arkosic sandstone, Laird Sandstone (middle Miocene)",,"Marine arkosic sandstone, Laird Sandstone (middle Miocene)","Very-thick-bedded, light-gray,medium-to-fine-grained, biotitic arkosic sandstone with scattered calcareous concretions locally includes a thick boulder granitic conglomerate at base.  Rests nonconformably on the granodiorite and granite of Inverness Ridge and on the tonalite of Tomales Point. As much as 64 m thick at Kehoe Beach, this sandstone unit thins to the east to less than 12 m near Lairds Landing on Tomales Bay.  Mollusks and echinoids from near the base of the Kehoe Beach section are diagnostic of shallow-marine depths and middle Miocene age (Clark and others, 1991)."
Tm,"Marine porcelanite and chert, Monterey Formation (middle to upper Miocene)",,"Marine porcelanite and chert, Monterey Formation (middle to upper Miocene)","Thin-bedded and laminated, light-colored porcelanite with very thinly laminated shale interbeds and few thin to medium interbeds of biotitic arkosic sandstone is as thick as 450 m on the southwest slope of Inverness Ride.  Interbedded light-gray porcelanite, brown brittle chert, and dark-yellowish-brown mudstone with scattered dolomite concretions that form the upper part of the Monterey are estimated to be from 450 m to 900 m thick (Clark and others, 1984).  The Lockhart well on Bolinas Mesa (well no. 6, Sheet 1) penetrated as much as 1500 m of the Monterey.  This formation yields benthic foraminfiers diagnostic of bathyal or greater depths and of Luisian and Mohnian (middle and late Miocene) age with most of the Monterey being Mohnian (Clark and others, 1984)."
Tsm,"Marine glauconitic and bituminous arkosic sandstone, Santa Margarita Sandstone (upper Miocene)",,"Marine glauconitic and bituminous arkosic sandstone, Santa Margarita Sandstone (upper Miocene)","Massive, coarse- to fine-grained semifriable arkosic sandstone is commonly greenish where it contains 37 to 42 percent glauconite.  In seacliff exposures near Double Point this sandstone is highly bioturbated and bituminous.  At Santa Maria Beach a one-meter thick basal conglomerate contains abundant Monterey chert clasts, common greenish and black porphyritic siliceous volcanic clasts, and a few granitic pebbles.  The Santa Margarita rests with angular unconformably on the Point Reyes Conglomerate of Galloway (1977) at Point Reyes and on the Monterey Formation east of Drakes Bay, where it varies from 5 m to as much as 60 m thick.  The glauconitic sandstone has yielded a K-Ar date of 7.9 ± 0.3 Ma (Geochron Labs., 1997), which is late Miocene.  Stratigraphic relationships to the under- and overlying formations also indicate that the Santa Margarita is late Miocene age."
Tsc,"Marine siliceous mudstone, Santa Cruz Mudstone (upper Miocene)",,"Marine siliceous mudstone, Santa Cruz Mudstone (upper Miocene)","Thin-to thick- bedded and faintly laminated olive-gray to pale-yellowish-brown siliceous mudstone contains thin elongate carbonate concretions.  Silica content varies from 66.4 percent near Bolinas to 79.0 percent higher in the section (Clark and others, 1984, table 2). In the seacliffs southeast of Double Point, contains a few thin bituminous sandstone interbeds, whereas farther southeast bituminous sandstone dikes are locally common in the lower part of the mudstone section.  As much as 1040 m of mudstone are exposed between Bolinas and Duxbury Points.  With additional subsurface section, this formation may be as thick as 2000 m in the Bolinas Mesa area but thins to the northwest, where it pinches out east of Drakes Bay. A diatom flora from near Bolinas Point is assigned to the Nitzchia reinholdii zone of late Miocene age (John A. Barron, written commun., 1975, 1990). Calcareous benthic foraminifers are diagnostic of the Bolivina obliqua zone of late Miocene age (Clark and others, 1984, table 3)."
Tp,"Marine siltstone, sandstone, and mudstone, Purisima Formation (upper Miocene to lower Pliocene)",,"Marine siltstone, sandstone, and mudstone, Purisima Formation (upper Miocene to lower Pliocene)","Thick- to very-thick bedded, light-olive-gray siltstone is locally diatomaceous and upon weathering becomes nodular and yellowish gray.  Spheroidal carbonate concretions, elongate as much as 2 m, form prominent discontinuous interbeds and locally contain cetacean bones. Several thick interbeds of light-olive-gray, well-sorted, fine- to medium-grained lithic arkose appear ÒbluishÓ where fresh, are semifriable and commonly bioturbated.  In the broad synclinal section at Drakes Bay, the Purisima is as much as 490 m thick.  A diatom flora from the seacliff section at Drakes Beach is assigned to subzone b of the Nitzchia reinholdii zone of latest Miocene age (Zone X in Clark and others, 1984).  The pinniped fauna is diagnostic of latest Miocene or Pliocene age (Repenning and Tedford, 1977). As much as 40 m of the Purisima at Drakes Bay is latest Miocene, but the upper part that is not as well dated is believed to range into the Pliocene (Clark and others, 1984)."
