code,title,description
Qtl,Colluvium (Holocene),"Unconsolidated, heterogeneous deposits of moderately to poorly sorted silt, sand, and gravel. Deposited by slope wash and mass movement. Minor fluvial reworking. Locally includes numerous landslide deposits and small alluvial fans. Contacts generally gradational. Locally grades into fluvial deposits. Generally more than 5 ft thick"
Qal,"Alluvial deposits, undifferentiated (Holocene)","Unconsolidated, heterogeneous, moderately sorted silt and sand containing discontinuous lenses of clay and silty clay. Locally includes large amounts of gravel. May include deposits equivalent to both younger (Qyf) and older (Qof) flood-plain deposits in areas where these were not differentiated. Thickness highly variable; may be more than 100 ft thick near coast"
Qb,Basin deposits (Holocene),"Unconsolidated, plastic, silty clay and clay rich in organic material. Locally contain interbedded thin layers of silt and silty sand. Deposited in a variety of environments including estuaries, lagoons, marsh-filled sloughs, flood basins, and lakes. Thickness highly variable; may be as much as 90 ft thick underlying some sloughs"
Qbs,Beach sand (Holocene),"Unconsolidated well-sorted sand. Local layers of pebbles and cobbles. Thin discontinuous lenses of silt relatively common in back-beach areas. Thickness variable, in part due to seasonal changes in wave energy; commonly less than 20 ft thick. May interfinger with either well-sorted dune sand or, where adjacent to coastal cliff, poorly-sorted colluvial deposits. Iron-and magnesium-rich heavy minerals locally from placers as much as 2 ft thick"
Qt,"Terrace deposits, undifferentiated (Pleistocene)","Weakly consolidated to semiconsolidated heterogeneous deposits of moderately to poorly sorted silt, silty clay, sand, and gravel. Mostly deposited in a fluvial environment. Thickness highly variable; locally as much as 60 ft thick. Some of the deposits are relatively well indurated in upper 10 ft of weathered zone"
Qes,Eolian deposits of Sunset Beach (Pleistocene),"Weakly consolidated, wellsorted, fine- to medium-grained sand. Forms an extensive coastal dune field. Thickness ranges from 5 to 80 ft"
Qcl,Lowest emergent coastal terrace deposits (Pleistocene),"Semiconsolidated, generally well-sorted sand with a few thin, relatively continuous layers of gravel. Deposited in nearshore high-energy marine environment. Grades upward into eolian deposits of Manresa Beach in southern part of county. Thickness variable; maximum approximately 40 ft. Unit thins to north where it ranges from 5 to 20 ft thick. Weathered zone ranges from 5 to 20 ft thick. As mapped, locally includes many small areas of fluvial and colluvial silt, sand, and gravel, especially at or near old wave-cut cliffs"
Qcu,"Coastal terrace deposits, undifferentiated (Pleistocene)","Semiconsolidated, moderately well sorted marine sand with thin, discontinuous gravel-rich layers. May be overlain by poorly sorted fluvial and colluvial silt, sand, and gravel. Thickness variable; generally less than 20 ft thick. May be relatively well indurated in upper part of weathered zone"
Qyf,Younger flood-plain deposits (Holocene),"Unconsolidated, fine-grained, heterogeneous deposits of sand and silt, commonly containing relatively thin, discontinuous layers of clay. Gravel content increases toward the Santa Cruz Mountains and is locally abundant within channel and lower point-bar deposits in natural levees and channels of meandering streams. Thickness generally less than 20 ft"
Qof,Older flood-plain deposits (Holocene),"Unconsolidated, fine-grained sand, silt, and clay. More than 200 ft thick beneath parts of the Pajaro and San Lorenzo River flood plain. Lower parts of these thick fluvial aggradational deposits include large amounts of gravel, and serve a major ground-water aquifer beneath Pajaro Valley"
Qyfo,Alluvial fan deposits (Holocene),"Unconsolidated, moderately to poorly sorted sand, silt, and gravel, with layers of silty clay. Generally coarsest nearest the mountain front. Thickness uncertain, but may locally be greater than 50 ft"
Qds,Dune sand (Holocene),"Unconsolidated, well-sorted, fine- to medium-grained sand. Deposited as linear strip of coastal dunes. May be as much as 80 ft thick"
Qcf,Abandoned channel fill deposits (Holocene),"Unconsolidated, plastic, poorly sorted clay, silty clay, and silt. Deposited within channels on younger and older flood-plain deposits. Thickness generally less than 10 ft"
Qem,Eolian deposits of Manresa Beach (Pleistocene),"Weakly to moderately consolidated, moderately well sorted silt and sand. Deposited in extensive coastal dune field. Overlies fluvial terrace deposits (Qwf ). Locally grades conformably into underlying coastal terrace deposits (Qcu). Upper 10 to 20 ft is partially indurated owing to clay and iron oxide cementation in weathered zone. Moderate permeability and porosity except in soil zones, where generally low"
Qwf,Fluvial facies (Pleistocene),"Semiconsolidated, moderately to poorly sorted silt, sand, silty clay, and gravel. May be more than 200 ft thick. Gravel, approximately 50 ft thick, is generally present 50 ft below surface of deposit and is both a local aquifer and significant source of gravel. Upper 5 to 15 ft of unit is moderately indurated owing to clay and iron oxide cementation in weathered zone"
Qof,Alluvial fan facies (Pleistocene),"Semiconsolidated, moderately to poorly sorted,discontinuous layers of silty clay, silt, sand, and gravel. Deposited by streams, sheet flow, and debris flow on alluvial fans adjacent to Santa Cruz Mountains. Thickness variable; locally may be more than 50 ft thick"
Qce,Coastal terrace deposits. undifferentiated (Pleistocene)   Eolian facies,"Semiconsolidated, moderately well sorted eolian sand. Deposited conformably on top of coastal terrace deposits; undifferentiated, in western part of county. Thickness as much as 40 ft"
