code,grouping,title,description
Qa,,Alluvium surficial sediments (Holocene),
Qc,,Playa clay surficial sediments (Holocene),
Qls,,Landslide rubble surficial sediments (Holocene),
Qoa,,Older alluvium (Pleistocene),
Qaa,,Older alluvium (Pleistocene),[Assumed to be a typo of Qoa ~~kueda]
QTp,,Paso Robles Formation valley deposits (Pliocene and Pleistocene),"Dissected locally deformed valley deposits in upper Salinas Valley were named the Paso Robles Formation by Fairbanks (1898, p. 565-566) for exposures near Paso Robles (fig. 1). This name has since been applied to these deposits beyond the Paso Robles area by Fairbanks (1904), Arnold and Johnson (1910, pi. 1), Bramlette and Daviess (1944), Dibblee (1962, p. 6-10, pi. 1), and Durham (1963, 1964, 1966) and is used herein.

In the Salinas Valley lowland area north of the La Panza Range, the Paso Robles Formation is as much as 1,500 feet in exposed thickness; it attains a total maximum thickness of more than 4,000 feet in the subsurface west of Shandon as indicated from well logs. In this lowland area this valley deposit is composed of pebble gravel, sand, and clay, derived from the La Panza Range and from mountains west of Salinas Valley. In the subsurface near Shandon it conformably(?) overlies the unnamed Pliocene marine sediments (Pancho Rico(?) Formation) as indicated by well logs. In the La Panza Range and Red Hills, this valley deposit thins and unconformably laps over the previously deformed middle Tertiary sedimentary sequence onto the crystalline basement complex.

Under the Carrizo Pain, the Paso Robles Formation is as thick as 2,000 feet near the San Andreas fault as indicated from well logs, and is composed largely of shale-pebble gravel, sand, and clay, derived mainly from the Temblor Range. Southwestward this valley deposit thins and buttresses out against previously deformed Morales and Quatal Formations and the middle Tertiary sedimentary sequence of the Caliente Range.

At and near the southeast end of the Caliente Range and southwest of the San Andreas fault, the Paso Robles Formation (""deformed fanglomerate from eastern sources"" of Vedder and Repenning, 1965, and ""deformed alluvial deposits"" of Vedder, 1970) is as thick as 1,000 feet and is unconformable on previously deformed lower, middle, and upper Tertiary sequences, including the Morales Formation. The Paso Robles Formation is there composed of gravel and some landslide debris of rocks exposed in the San Emigdio Mountains across the fault, but now is some 20 miles southeast of this area, owing to that much strike-slip on the fault since deposition of this detritus.

Northeast of the San Andreas fault, the Paso Robles Formation is as thick as 2,000 feet and more adjacent to the fault, but thins out rapidly northeastward against the Temblor Range. It unconformably overlies rocks of the Temblor Range, including the Morales Formation, and was derived entirely from the Temblor Range.

In Cuyama Valley, equivalents of the Paso Robles Formation are thought to be the old dissected locally deformed alluvial fan deposits, such as several on the southwest side of the Caliente Range and one southwest of New Cuyama. These deposits are as thick as 600 feet and are composed of coarse locally derived detritus.

The top of the Paso Robles Formation, where preserved from erosion, is a surface of deposition, or an old valley surface that was never buried. Carrizo Plain, where it is preserved under a thin cover of alluvium, is a remnant of this former very extensive valley surface of deposition. To the northwest and west this old valley surface becomes increasingly dissected and largely destroyed by down-cutting stream channels of the present Salinas River drainage system. Along its margins this old valley surface of deposition blends into the old erosion surface of the La Panza, Caliente, and Temblor Ranges as the Paso Robles Formation thins out against those previously elevated areas.

The age of the Paso Robles Formation can only be inferred from its stratigraphic position and from geomorphic relations because, except in one place, no diagnostic fossils have been found. This formation has been variously inferred to be Pliocene, Pleistocene, or Pliocene and Pleistocene in age. Durham (1966, p. B22) and Galehouse (1967, p. 955-956) considered it to be Pliocene and possibly Pleistocene in age because of the apparent inter-tonguing relationship with the underlying marine Pancho Rico Formation (lower Pliocene) east and southeast of King City. In that part of Salinas Valley (northwest of fig. 2), however, the Paso Robles Formation is thin, and some of the lower beds into which marine beds intertongue may be equivalent to the Morales or Quatal Formations farther south-east.

The Paso Robles Formation must be at least in part of Pleistocene age because its top surface of deposition, which blends into the Pleistocene erosion surface of the adjacent mountains where this surface is cut on units as young as the Morales Formation, is in large part preserved, whereas no surface of deposition of any Tertiary formation remains unburied and uneroded. The angular unconformable relationship of the Paso Robles Formation to all older units, including the Morales Formation of late Pliocene age, suggests that all the Paso Robles Formation in areas in which this relationship exists is of Pleistocene age.

The single locality in which fossils were found in the Paso Robles Formation is 2 miles east of Atascadero in a roadcut about 300 feet west of middle of west line of sec.7, T, 28 S., R. 13 E. At that place, brackish-marine mollusks were found (by J. S. Galehouse) in shale-pebble gravel about 20 feet above the base of the Paso Robles Formation. W. O. Addicott (written commun., 1971) considered them probably Pliocene, possibly middle Pliocene. Also found at this locality, and in basal cobble gravel of this formation within 3 miles south-east of Santa Margarita, are cobbles with mollusk-bored holes.

Although the Paso Robles Formation is generally regarded as Pliocene and Pleistocene (?) in age, the formation within the area of figure 2 is considered by the writer to be of Pleistocene age and in places partly of probable late Pliocene age because of the stratigraphic relations and fossil data as indicated.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
QTt,,Tulare Formation valley deposits (Pliocene and Pleistocene),"Locally deformed dissected valley deposits composed of gravel, sand, and silt in the hills on the southwest side of the San Joaquin Valley near Coalinga were named Tulare Formation by Anderson (1905, p. 181) for nearby Tulare Lake. No type locality was then designated, but Woodring, Stewart, and Richards (1940, p. 13) suggested the exposures on the northeast flank of the northern part of Kettleman Hills North Dome as the type section. The name Paso Robles Formation was also applied to these valley deposits by Anderson and Pack (1915, pi. 1) and to those in the Temblor Range by Pack (1920, pi. II, p. 47-52). These deposits in the Temblor Range, however, were included earlier by Arnold and Johnson (1910, pi. 1) in a unit they named McKittrick Formation. These valley sediments were redesignated the Tulare Formation by Woodring, Roundy, and Farnsworth (1932, p. 16- 30), Dibblee (1962, p. 8-10, pi. 1), and Foss and Blaisdell (1968 p. 35) because, even though they are lithologically similar to and occupy the same stratigraphic position as does the Paso Robles Formation, they were deposited in a different basin or valley. This usage is retained herein.

In the foothills of the Diablo Range and in the Kettleman Hills, the Tulare Formation is about 2,700 feet thick and grades downward into the San Joaquin Formation. Well data in the subsurface of the Elk Hills, Buena Vista Hills, and east of the Temblor Range indicate that it is similar. In the foothills of the Temblor Range it thins out westward against the unconformably underlying Etchegoin Formation and Monterey Shale. The top of the Tulare Formation is a valley surface of deposition that forms the present undissected surface of San Joaquin Valley under a thin mantle of alluvium but is severely dissected, though partly preserved, where it is elevated by deformation in the Elk Hills, Buena Vista Hills (east of Taft), and foothills of the Temblor Range.

The age of the Tulare Formation is inferred to be late Pliocene and Pleistocene (Arnold and Anderson, 1910, p. 140, 154; Pack, 1920, pi. II; Woodring and others, 1932, p. 27, and 1940, p. 104; Stewart, 1946, p. 105; Wahrhaftig and Birman, 1965, p. 314-316) or Pleistocene (Goudkoff, 1943, p. 248-249; McMasters, 1947, fig. 34; Foss and Blaisdell, 1968, p. 35). A few mammalian fossils found in the San Joaquin Formation just below the base of the Tulare Formation in the Kettleman Hills and near McKittrick are diagnostic of the Blancair age, late Pliocene or Pleistocene (C. A. Repenning, oral commun., 1968). On the basis of diatom studies, the Tulare Formation is considered to be of Pliocene and Pleistocene age (K. E. Lohman, written commun., 1968).

The Tulare Formation within the area of figure 2 is probably correlative with most of if not all the Paso Robles Formation on the basis of its similar lithology, stratigraphic position, and geomorphic relations and is likewise tentatively assigned a late Pliocene(?) and Pleistocene age.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
QTu,,Unnamed valley deposits (Pliocene and Pleistocene),
Tmo,,Morales Formation valley sediments (Pliocene),"In the Cuyama Valley, Caliente Range, and in the area northwest of Carrizo Plain is exposed a deformed valley deposit, as much as 5,000 feet thick, of light-gray gravel, sand, and silt that conformably overlies the Quatal Formation and unconformably laps onto the middle Tertiary sedimentary sequence. This valley deposit was named the Morales Member of the Santa Margarita Formation by English (1916, p. 203, pi. XIX) for Morales Canyon (10 miles north- west of New Cuyama), the type locality. This deposit was redefined as a formation by Hill, Carlson, and Dibblee (1958, p. 2990, 2996-2998) because it differs lithologically from the Santa Margarita Formation and in the type locality in unconformably overlies the Santa Margarita Formation with angular discordance. The usage of Morales Formation of Hill, Carlson, and Dibblee (1958) and Vedder (1970) is retained herein.

The Morales Formation was inferred to be of Pliocene age by Hill, Carlson, and Dibblee (1958, p. 2996-2998) on the basis of its stratigraphic position above the Quatal Formation and Miocene strata and because of its unconformable relationship below equivalents of the Paso Robles Formation in western Cuyama Valley and eastern Caliente Range and at San Juan Creek northwest of Carrizo Plain.

A tooth of Equus (Pleisohippus) sp. (large horse), considered diagnostic of Blancan age (Pliocene or Pleistocene) of the vertebrate chronology, was found near the middle of the 5,000-foot-thick Morales Formation in the eastern Caliente Range (Vedder and Repenning, 1965; Vedder, 1970). The profound deformation of this formation, however, as compared to the much less deformed unconformably overlying Paso Robles Formation indicates that the Morales Formation probably is late Pliocene in age, to which it was assigned by Vedder (1970).

In the Panorama Hills and southwestern foothills of the Temblor Range just northeast of the San Andreas fault, as much as 2,500 feet of terrestrial gravel named Panorama Hills Formation by Dibblee (1962, p. 8, pi. 1) gradationally overlies sandstone of the unnamed marine sediments and is unconformably overlain by the Paso Robles Formation. The name Panorama Hills Formation is herein abandoned, and this unit is assigned to the Morales Formation because it is of similar lithology and is probably in large part correlative. Presumably this valley deposit accumulated in the same basin as the Morales Formation now exposed in the Caliente Range and Cuyama Valley.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
Tsj,,"San Joaquin Formation, mostly mudstone (Pliocene)","In the Kettleman Hills the San Joaquin Formation, as mapped by Woodring, Stewart, and Richards (1940, p. 26-28, pi. 1), is from 1,200 to 1,800 feet thick and is mainly gray soft claystone, siltstone, and fine-grained sandstone. The base was taken as the base of a 50-foot-thick bed of gray to blue sandstone and pebble conglomerate (Cascajo Conglomerate Member of Woodring and others, 1940, p. 49-53). The San Joaquin Formation overlies the Etchegoin Formation and grades upward into the Tulare Formation. The type locality of the San Joaquin Formation is on the northeast flank of Ket- tleman Hills, in sec. 23, T. 22 S., R. 18 E., 8 miles east of Avenal (fig. 1), as suggested by Barbat and Galloway (1934, p. 478-480); however, Woodring, Stewart, and Richards (1940, p. 27) suggested a better standard section 3 miles northwest in sec. 8, T. 22 S., R. 18 E.

In the foothills north of Reef Ridge, the San Joaquin Formation is about 2,000 feet thick and is similar to its exposure in Kettleman Hills. The base is taken as a thin pebble bed that overlies blue sandstone of the Etchegoin Formation. The San Joaquin Formation grades upward into the Tulare Formation through interbeds of conglomerate similar to that of the Tulare Formation. Southeastward along strike, the contact with the Tulare Formation becomes difficult to map because the upper 1,200 feet of the San Joaquin Formation contains increasing amounts of sandstone and many layers of shale-pebble conglomerate, a composition like that of the Tulare Formation.

The San Joaquin Formation in the Kettleman Hills contains marine, brackish-water, and lacustrine fossils considered to be of late Pliocene age by Woodring, Stewart, and Richards (1940, p. 103). They reported (1940, p. 97-98) mammalian fossils from the ""Pecten zone"" about 600 feet below the top of this unit. These were considered by Durham, Jahns, and Savage (1954, p. 69) to be of Blancan age or late Pliocene and early Pleistocene age and by Hibbard, Ray, Savage, Taylor, and Guilday (1965, p. 512) to be early Blancan age or late Pliocene. Adegoke (1969, p. 51) suggested that part or all of the San Joaquin Formation may be of Pleistocene age. In the Reef Ridge foothills the San Joaquin Formation contains molluscan fossils that Addicott (oral commun., 1968) considered to be of late Pliocene age. The unit is tentatively assigned a late Pliocene age, but could range into the Pleistocene, depending on the interpretation of the Pliocene-Pleistocene boundary.

(Diblee, T.W. 1973. ""Stratigraphy of the Southern Coast Ranges near the San Andreas Fault from Gholame to Maricopa, California."" GEOLOGICAL SURVEY PROFESSIONAL PAPER 764. United States Geological Survey. https://pubs.usgs.gov/pp/0764/report.pdf)"
