code,grouping,title,description
af,,Artificial fill (late Holocene),Man-made deposits of varying composition.
Qb,,Beach deposits (Holocene),"Moderately sorted, fine- to very coarse-grained to gravelly arkosic sand."
Qfp,,Flood-plain deposits (Holocene),Gravelly to silty sand and sandy to clayey silt. Locally includes lacustrine and delta deposits. In part may be Pleistocene.
Qt,,Talus deposits (Holocene),Accumulations of coarse angular blocks to gravelly and sandy granitic and volcanic debris. In part may be Pleistocene. Extensive deposits along the Truckee River.
Ql,,Lake deposits (Holocene),Thin-bedded sandy silt and clay.
Qyg,,Younger glacial deposits (Holocene),"Unsorted sandy to clayey, boulder to cobble till; forms undissected moraines. Locally may include talus and alluvial fan deposits."
Qc,,Colluvium (Holocene),"Unsorted, poorly consolidated granitic colluvium, decomposed granite, soil, matrix supported debris flow material, sand and cobble to boulder gravel."
Qls,,Landslide deposits (Holocene and Pleistocene),"Unsorted angular boulder- to clay- size debris; locally may include talus, colluvium, rockfall and avalanche deposits. Includes accumulations of poorly sorted, disrupted materials transported by debris flows."
Q,,Alluvium (Holocene and Pleistocene),"Unconsolidated, moderately to poorly sorted sand, silt and gravel. Locally includes alluvial fan deposits, glacial outwash and lacustrine deposits."
Qf,,Alluvial fan deposits (Holocene and Pleistocene),Poorly sorted bouldery sand and gravel. Locally includes older fan deposits and alluvium.
Qm,,Mudflow deposits of Birkeland (1961) (Holocene and (or) Pleistocene),Cobbles and boulders of local bedrock in a mud matrix deposited as a debris flow or flows at the confluence of Deer Creek and the Truckee River.
Qob,,Older beach deposits (Pleistocene),"Moderately sorted gravelly, coarse arkosic sand in the South Lake Tahoe quadrangle."
Qol,,Older lake deposits (Pleistocene),Thin-bedded sandy silt and clay.
Qlt,,Lacustrine terrace deposits (Pleistocene),"Poorly to moderately sorted silt, sand and gravel forming broad low terraces 5-10 meters above lake level. Locally includes delta deposits."
Qti,,Till of the Tioga glacial deposits (Pleistocene),"Approximate age 9,990 – 25,500 YBP (Yount and LaPointe, 1997). Unconsolidated, gray to light-tan, bouldery polymict till characterized by large granitic boulders, generally unweathered; preserved as sharp-crested moraines. Locally may include outwash deposits."
Qtio,,Outwash of the Tioga glacial deposits (Pleistocene),"Approximate age 9,990 – 25,500 YBP (Yount and LaPointe, 1997). Unconsolidated boulder and cobble gravel, sand and silt; generally unweathered."
Qta,,Till of the Tahoe glacial deposits (Pleistocene),"Approximate age 56,000 – 118,000 YBP (Yount and LaPointe, 1997). Unconsolidated bouldery till with distinct yellow-brown weathered matrix; preserved as larger moraines with more rounded and broader crests. Locally may include outwash deposits."
Qtao,,Outwash of the Tahoe glacial deposits (Pleistocene),"Approximate age 56,000 – 118,000 YBP (Yount and LaPointe, 1997). Unconsolidated polymict boulder to cobble gravel, sand and silt; distinguished from Tioga outwash deposits by higher terrace position and greater degree and depth of soil development."
Qgt,,Till of the Tahoe and Tioga glacial deposits – undivided (Pleistocene),"Unsorted to very poorly sorted, bouldery to clayey gravel; surface granitic boulders slightly to moderately weathered. Associated with undissected to moderately dissected moraines. Locally may include outwash deposits."
Qog,,Till of the Pre-Tahoe deposits (Pleistocene),"Includes Sherwin deposits of Birkeland (1961) and Donner Lake deposits of Harwood and Fisher (2002). Deeply weathered bouldery deposits generally without morainal form; surface granitic boulders are weathered with stained, pitted and knobby surface; granitic boulders within the deposit are decomposed. Locally may include outwash deposits."
Qogo,,Outwash of the Pre-Tahoe deposits (Pleistocene),"Includes Sherwin deposits of Birkeland (1961) and Donner Lake deposits of Harwood and Fisher (2002). Poorly sorted boulder and cobble gravel, sand and silt."
Qg,,Till of the glacial deposits undivided (Pleistocene and Holocene?),Includes Tioga and Tahoe age deposits as well as pre-Tahoe and possibly younger (Holocene) glacial deposits.
Qgo,,Outwash of the glacial deposits undivided (Pleistocene and Holocene?),"Includes Tioga and Tahoe age deposits as well as pre-Tahoe and possibly younger (Holocene) glacial deposits. Poorly sorted boulder and cobble gravel, sand and silt."
Qvbm,,Bald Mountain olivine latite of Birkeland (1961) (Pleistocene),"Dark-gray olivine latite flow erupted from vents at and southwest of Bald Mountain. Qvbmcc – cinder cone deposits. Includes olivine shoshonite flows, scoria and tuff of Latham (1985). K/Ar whole-rock age of 1.2±0.1 Ma (recalculated from Dalrymple, 1964)."
Qvbmcc,,Bald Mountain olivine latite of Birkeland (1961) (Pleistocene),cinder cone deposits
Qjf,,Juniper Flat alluvium of Birkeland (1961) (Pleistocene),"Interfingering lenses of silt, sand and gravel; gravel is mainly andesitic. Includes Union Valley sediments of Latham (1985)"
Qpc,,Prosser Creek alluvium of Birkeland (1961) (Pleistocene),"Indurated polymict boulder to pebble gravel, sand and silt; partly alluvial and partly lacustrine. Deposited when Truckee River drainage was blocked by Hirschdale olivine latite flows."
Qvh,,Hirschdale olivine latite of Birkeland (1961) (Pleistocene),"Dark-gray to dark- green porphyritic olivine latite flows containing pillow structures near base; erupted from vents near Juniper Flat. Qvhcc – cinder cone deposits, Qvht – basaltic tuff. Includes Juniper Flat flow of Latham (1985). K-Ar whole-rock age of 1.3±0.1 Ma (recalculated from Dalrymple, 1964)."
Qvhcc,,Hirschdale olivine latite of Birkeland (1961) (Pleistocene),Cinder cone deposits
Qvht,,Hirschdale olivine latite of Birkeland (1961) (Pleistocene),Basaltic tuff
QPot,,Older talus deposits (Pliocene and/or Pleistocene),"Moderately weathered, lichen-encrusted, bouldery deposits in the Mt. Tallac area. Interpreted to be the dissected remnants of a previous land surface (Fisher, 1989)."
QPvd,,Dry Lake volcanic flows of Birkeland (1961) and Wise and Sylvester (2004) (Pliocene and/or Pleistocene),"Consists of at least four aphyric and porphyritic flows of potassium-rich andesite and dacite from domes south and southeast of Dry Lake in the Martis Peak quadrangle. QPvd1 – QPv4 (oldest to youngest). A whole- rock age of 1.34 Ma is reported from a flow west of Klondike Meadow in the Martis Peak quadrangle (written communication, A.G. Sylvester, 2004). Birkeland (1961) originally mapped five latite and basalt flows; Latham (1985) mapped six hornblende and pyroxene andesite flows."
QPvd1,,Dry Lake volcanic flows of Birkeland (1961) and Wise and Sylvester (2004) (Pliocene and/or Pleistocene),"Aphyric and porphyritic flows of potassium-rich andesite and dacite from domes south and southeast of Dry Lake in the Martis Peak quadrangle. QPvd1 – QPv4 (oldest to youngest). A whole- rock age of 1.34 Ma is reported from a flow west of Klondike Meadow in the Martis Peak quadrangle (written communication, A.G. Sylvester, 2004). Birkeland (1961) originally mapped five latite and basalt flows; Latham (1985) mapped six hornblende and pyroxene andesite flows."
QPvd2,,Dry Lake volcanic flows of Birkeland (1961) and Wise and Sylvester (2004) (Pliocene and/or Pleistocene),"Aphyric and porphyritic flows of potassium-rich andesite and dacite from domes south and southeast of Dry Lake in the Martis Peak quadrangle. QPvd1 – QPv4 (oldest to youngest). A whole- rock age of 1.34 Ma is reported from a flow west of Klondike Meadow in the Martis Peak quadrangle (written communication, A.G. Sylvester, 2004). Birkeland (1961) originally mapped five latite and basalt flows; Latham (1985) mapped six hornblende and pyroxene andesite flows."
QPvd3,,Dry Lake volcanic flows of Birkeland (1961) and Wise and Sylvester (2004) (Pliocene and/or Pleistocene),"Aphyric and porphyritic flows of potassium-rich andesite and dacite from domes south and southeast of Dry Lake in the Martis Peak quadrangle. QPvd1 – QPv4 (oldest to youngest). A whole- rock age of 1.34 Ma is reported from a flow west of Klondike Meadow in the Martis Peak quadrangle (written communication, A.G. Sylvester, 2004). Birkeland (1961) originally mapped five latite and basalt flows; Latham (1985) mapped six hornblende and pyroxene andesite flows."
