code,title,grouping,description
Qhf,"Alluvial fan and fluvial terrace deposits, undivided (Holocene)",,"Gravel, sand, and silt derived primarily from Pleistocene and older sedimentary and igneous units."
Qhf2,Old Holocene alluvial fan and fluvial terrace deposits (Holocene?),,Incise older Holocene and some pre-Holocene alluvial deposits
Qhpf,"Alluvial fan and terrace deposits, undivided (Holocene? and (or) Pleistocene)",,
Qhpf1,Younger alluvial fans and terrace deposits (Holocene? and (or) Pleistocene),,
Qhpf2,Older alluvial fan and terrace deposits (Holocene? and (or) Pleistocene),,
Qls,Landslide deposits (Holocene and Pleistocene),,"Deposits vary from intact slabs of rock to unconsolidated rock, soil, and colluvium that have been displaced down-slope by gravitational processes. Arrows indicate direction of movement"
Qt,"Alluvial deposits, undivided (Holocene and Pleistocene)",,Include Holocene and Pleistocene alluvial fan and terrace deposits
Qal,Alluvial deposits (Holocene and (or) Pleistocene),,Undivided Quaternary alluvium
Qc,Colluvium (Holocene and (or) Pleistocene),,Unconsolidated soil and rock debris generally transported down-slope by gravitational processes. Arrows indicate direction of movement or creep
Qoa,"Older alluvial deposits, undivided (Pleistocene)",,Uplifted or dissected older alluvium
QTg,Fluvial and lacustrine deposits (early Pleistocene and Pliocene),,"Gravel, sandstone, siltstone, mudstone, lacustrine diatomite, silicic tuff (QTgt), and siltstone (QTgs). Include obsidian clast-bearing gravels previously assigned to Glen Ellen and Huichica Formations. Southwest of Maacama Fault, unit unconformably overlies and is derived from pre-Tertiary basement and Tertiary volcanics. Northeast of Maacama Fault unit unconformably overlies pre-Tertiary basement, Sonoma Volcanics of the Petrified Forest and Franz Valley, and fluvial and lacustrine deposits of Humbug Creek (Tgp). A thin marine diatomite bed (QTgd) intercalated at base of formation in the southwest corner of the quadrangle may be correlative to the marine Wilson Grove Formation of Fox (1983)"
QTgs,"Siltstone marker beds, Fluvial and lacustrine deposits (early Pleistocene and Pliocene)",,Locally intercalated in gravels
QTgt,"Siliceous tuff marker bed, Fluvial and lacustrine deposits (early Pleistocene and Pliocene)",,
QTgd,"Marine diatomite, Fluvial and lacustrine deposits (early Pleistocene and Pliocene)",,
sc,Silica carbonate rock (Pleistocene and Pliocene),,"Hydrothermally altered ultramafic rocks, composed of quartz and magnesium carbonate mineral assemblages, commonly associated with mercury and other epithermal base metal sulfide occurrences (Ag, Au, Pb, Zn, Cu). Mineralization ages generally correspond with, but are somewhat younger than, ages of associated Quaternary and Tertiary volcanic rocks"
