code,title,description,lithology
md,Tailings and mine dumps (Holocene),Tailings consist of fine-grained sediment (produced during ore processing) slurried into holding ponds near mills associated with mining operations. Mine dumps are unsorted piles of subeconomic and unmineralized waste rock produced during mining of mineral deposits
Qtt,Travertine hot springs deposits (Holocene and Pleistocene),Very-pale- orange to yellow deposits of calcium carbonate and other minerals precipitated from geothermal water associated with hot springs activity. Deposits are limited to two small areas southeast of Bridgeport near active hot springs
Qtf,Tufa deposits (Holocene and Pleistocene),"Several 3–5-m tall spires about 2 km southeast and 4 to 9 km northeast of the mouth of Bridgeport Canyon on the north side of Mono Lake are composed of highly porous, yellowish-gray thinolitic tufa. The tufa deposits are composed of calcium carbonate minerals precipitated where freshwater springs discharged beneath Mono Lake and interacted with its alkaline water (Shearman and others, 1989)"
Qal,Alluvium (Holocene and Pleistocene),"Silt, sand, and gravel deposits that occur principally in drainage bottoms. Includes slope wash deposits and minor talus at valley margins"
Qes,Eolian sand deposits (Holocene and Pleistocene),"Well-sorted, medium to fine sand and silt. Derived from lacustrine deposits of Mono Lake and Pleistocene Lake Russell and reworked pyroclastic fall deposits associated with the Mono-Inyo Craters volcanic chain (Bailey, 1989). Form partly stabilized dunes on the north side of Mono Lake (Dohrenwend, 1981), and wind-deposited accumulations elsewhere, most notably in the central part of the Aurora volcanic field"
Qf,Fan deposits (Holocene and Pleistocene),"Massive, poorly sorted, unconsolidated deposits with silt- to boulder-size clasts in a silty to sandy matrix; form aprons at the break in slope where drainages emerge from steeper upland areas"
Qls,Landslide deposits (Holocene and Pleistocene),"Lobate accumulations of poorly sorted soil and rock debris forming hummocky slopes downslope from bedrock scarps. Contain unsorted, chaotic accumulations of intact bedrock blocks; dominant rock type within each landslide deposit is identified using rock-unit labels"
Qpd,Pediment deposits (Holocene and Pleistocene),Fan-shaped deposits of poorly sorted sand and coarse gravel; thinly mantles relatively smooth pediment surfaces cut on underlying Miocene volcanic and sedimentary rocks on north and northeast sides of the Bodie Hills. Clast compositions reflect the wide array of rock types exposed upslope of each particular pediment
Qpl,Playa deposits (Holocene and Pleistocene),"Light-colored, reworked silt, clay, and evaporate minerals deposited in lakes within broad, flat, restricted basins of the Aurora volcanic field"
Qt,Talus (Holocene and Pleistocene),"Unconsolidated, poorly sorted, angular rock fragments shed from cliffs and steep slopes; forms cones, aprons, and scree slopes"
Ql,Lacustrine deposits (late Pleistocene),"Shallow-water lacustrine deposits of late Pleistocene Lake Russell (Reheis and others, 2002); commonly includes fine-grained laminated beds, eolian sand, and beach-gravel deposits"
Qgd,Glacial deposits (Pleistocene),"Glacial deposits exposed in the southwest part of the map area. Deposits are part of the 820 ka (Moore and Moring, 2013) Sherwin Till (Chesterman and Gray, 1975), and lack distinct depositional form. The glacial deposits form soil-covered slopes that include rounded and weathered Mesozoic granitoid boulders and less weathered, angular clasts of fine-grained Paleozoic and Mesozoic metamorphic rock; clasts of Miocene volcanic rock are subordinate"
Qog,Older gravel deposits (Pleistocene),"Massive, poorly sorted, unconsolidated deposits with silt- to boulder-size clasts in a silty to sandy matrix; form aprons at the base of topographic highs and distinct gravel banks above younger alluvium and gravel deposits, and mantle some valley walls. Clasts, including petrified wood and hydrothermally altered rocks, reflect derivation from a variety of bedrock sources"
Qmsa,Trachyandesite of Mud Spring (Pleistocene),"Medium-dark-gray, moderately porphyritic trachyandesite lava flow; vesicular in most places. Contains about 10 percent phenocrysts of hornblende, plagioclase, and clinopyroxene in a weakly devitrified groundmass; accessory opaque oxides form scarce, small crystals. Forms a distinctive, rubbly lava flow, with the geomorphology of a recently erupted, essentially unweathered flow, which overlies unconsolidated gravel deposits in the northeast part of the Aurora volcanic field, east of Mud Spring. Determined ages 0.04 ±0.04 Ma and 0.11±0.08 Ma"
Qaca,Trachyandesite of Aurora Crater (Pleistocene),"Dark-gray, sparsely porphyritic trachyandesite and minor andesite lava flows and cinder deposits; vesicular in most places. Contains about 3 percent phenocrysts of clinopyroxene and orthopyroxene and minor olivine in an intergranular intergrowth of weakly devitrified glass, plagioclase, clinopyroxene, and opaque oxides. Erupted from Aurora Crater, an elliptical 4.4 by 5.6 km composite cone in the north-central part of the Aurora volcanic field. Determined ages 0.26±0.05 Ma and 0.47±0.19 Ma"
Qta2,Trachyandesite 2 (Pleistocene),"Pale brown, almost aphyric trachyandesite lava flow and plug; distinctly flow laminated in some places. Contains about 1 percent small phenocrysts of olivine in an aphanitic, intersertal intergrowth of plagioclase, clinopyroxene, and opaque oxides. The lava flow, in the northeast part of the Aurora volcanic field, south of Mud Spring Canyon, preserves primary, flow-morphology features. Determined age 1.32±0.08 Ma"
Qta1,Trachyandesite 1 (Pleistocene),"Medium-light-gray, sparsely porphyritic trachyandesite and minor basaltic trachyandesite lava flows; vesicular in most places. Contains about 5 to 10 percent (average, about 7 percent) phenocrysts of plagioclase, hornblende, and olivine, in some places, in a pilotaxitic intergrowth of plagioclase, olivine, clinopyroxene, and opaque oxides; accessory apatite. Numerous lava flows form a shield volcano, centered on peak 8172T about 3.5 km north of Mount Hicks, in the northeast part of the Aurora volcanic field. Absolute age unknown but constrained to between 1.3 to 1.6 Ma by geologic relations"
Qa,"Andesite (Reheis and others, 2002) (Pleistocene)","Andesite lava flow, fills channel that drained Pleistocene Lake Russell. Determined ages 1.44 ±0.06 and 1.6±0.02 Ma"
Qmh,Trachyandesite of Mount Hicks (Pleistocene),"Dark-gray, almost aphyric trachyandesite lava flows. Contains about 3 percent phenocrysts of olivine that are enclosed in a felty intergrowth of plagioclase, clinopyroxene, and opaque oxides. Numerous lava flows form a shield volcano, centered on Mount Hicks, which dominates the east-central part of the Aurora volcanic field. Determined age 1.6±0.1 Ma"
Qacc,Trachyandesite of Cow Camp Creek (Pleistocene),"Medium-gray, moderately porphyritic trachyandesite; includes basaltic trachyandesite and trachydacite. Contains about 5 to 30 percent (average, about 22 percent) phenocrysts, principally plagioclase, clinopyroxene, and olivine (but includes hornblende and orthopyroxene in some samples) in a weakly devitrified groundmass; accessory opaque oxides. The trachyandesite forms a ≤170-m-thick series of flows associated with an inferred shield volcano probably centered north of Cow Camp Creek; may also include minor moderate-reddish-orange scoria deposits north of Beauty Peak. Determined age 1.99±0.04 Ma"
QTai,Trachyandesite (Pleistocene or Pliocene),"Medium-light-gray, sparsely porphyritic trachyandesite. Contains about 15 percent olivine phenocrysts in an aphanitic, felty intergrowth of plagioclase, clinopyroxene, and opaque oxides. Forms an isolated plug about 15 km northeast of Bridgeport, significantly northwest of all other Aurora volcanic field rocks. Absolute age unknown"
QTopb,Olivine pyroxene basaltic trachyandesite (Pleistocene or Pliocene),"Medium- dark-gray, moderately porphyritic basaltic trachyandesite. Contains about 20 percent phenocrysts of plagioclase, olivine, and clinopyroxene in a groundmass that consists of intergrown plagioclase, clinopyroxene, and opaque oxides; accessory mineral assemblage limited to opaque oxides. Forms an isolated outcrop about 6 km west southwest of the mouth of Trench Canyon. Absolute age unknown"
QTob,Olivine basaltic trachyandesite (Pleistocene or Pliocene),"Medium-light-gray, strongly porphyritic, vesicular basaltic trachyandesite. Contains about 45 percent phenocrysts of plagioclase and olivine in a groundmass that consists of intergrown plagioclase, opaque oxides, and clinopyroxene. Forms two small isolated outcrops about 1 km north of Mount Biedeman. Absolute age unknown"
QTaap,Trachyandesite south of Aurora Peak (Pleistocene or Pliocene),"Medium- dark-gray, moderately porphyritic vesicular trachyandesite. Contains about 15 percent phenocrysts of hornblende and plagioclase in a moderately devitrified groundmass; accessory opaque oxides. Forms several isolated outcrops southwest, south, and southeast of Aurora Peak. Determined ages 2.3±0.1 and 2.6±0.2 Ma (Silberman and McKee, 1972)"
QTbbc,Basaltic debris-flow deposits of Cedar Hill (Pleistocene or Pliocene), Grayish-black debris-flow deposits that contain angular 5–50 cm clasts of olivine basalt; forms an isolated exposure about 1 km north of Kirkwood Spring; may be correlative with the trachybasalt of Cedar Hill
QThch,Hornblende trachydacite of Cedar Hill (Pleistocene or Pliocene),"Medium- gray, moderately porphyritic trachydacite and trachyandesite (hornblende andesite of Lange and Carmichael, 1996). Contains about 15 to 30 percent (average, about 19 percent) phenocrysts of plagioclase and hornblende and trace amounts of biotite and clinopyroxene in a weakly devitrified groundmass; accessory opaque oxides and apatite. Forms composite lava cones and flows in the southern part of the Aurora volcanic field. Eight age determinations range from 2.4 to 3.5 Ma"
Tmr,Rhyolite of Martinez Hill (Pliocene),"Light-gray, almost aphyric, high-silica rhyolite. Contains about 4 percent phenocrysts of quartz, sanidine, plagioclase, and biotite in a groundmass composed of fresh glass; accessory opaque oxides, titanite, zircon, and allanite. Lava forms three small-volume, coalescing domes at Martinez Hill, south of Gregory Flats near the center of the Aurora volcanic field. Determined age 2.6±0.1 Ma"
Tdap,Trachydacite of Aurora Peak (Pliocene),"Light-gray to pinkish-gray, moderately porphyritic trachydacite. Contains 15 to 20 percent phenocrysts of plagioclase, hornblende, and biotite; accessory apatite and opaque oxides. Forms a lava dome with two vents near the top of Aurora Peak. Determined ages 2.6 ±0.2 Ma and 2.8±0.2 Ma"
Tbch,Trachybasalt of Cedar Hill (Pliocene),"Medium-gray, moderately porphyritic trachybasalt (basalt of Lange and Carmichael, 1996). Contains about 5 to 20 percent (average, about 15 percent) phenocrysts of plagioclase, olivine, and clinopyroxene in an intergranular groundmass; accessory opaque oxides. Forms a composite cone composed of bedded cinder deposits and interbedded lava flows in the southern part of the Aurora volcanic field. Determined age 2.60±0.06 Ma"
