code,grouping,title,description,lithology
ml,,Modified land (Holocene),Land surface significantly altered by pipeline and road construction in southern part of map area,artificial
mw,,Mine waste (Holocene),Accumulations of rock waste produced by mining activities (Vulcan and Bonanza King Mines),artificial
Qe,,Eolian sand (Quaternary),Small eolian sand dunes in southwestern part of map area,dune sand
QTs,,"Slope deposits, undivided (Quaternary and Pliocene?)","Diverse deposits of unconsolidated to loosely consolidated rock material on slopes, including colluvium, talus, and landslide debris",
QTt,,Travertine and tufa (Quaternary and (or) Pliocene?),White to cream-colored deposits of calcium carbonate inferred to mark former locations of groundwater discharge. Includes two small deposits along a strike-slip fault in southern part of map area,carbonate rock
Qaa,,Active and recently active alluvial deposits (Holocene),"Deposits largely confined to modern washes, ranging from very recent deposits composed of loose sand and gravel to relatively old, weakly consolidated terrace deposits, some of which may overlap in age with unit Qya. Surfaces typically appear gray to brown on aerial photographs. Equivalent to unit Q4 of Bull (1991)",
Qya,,Young alluvial deposits (Holocene and latest Pleistocene),Weakly consolidated sand and gravel forming surfaces incised by unit Qaa. Surfaces are characterized by relict bar and swale morphology and weakly developed desert varnish; typically appear medium-brown on aerial photographs. Equivalent to unit Q3 of Bull (1991),
Qia,,Intermediate alluvial deposits (late to middle Pleistocene),Moderately consolidated sand and gravel forming surfaces incised by units Qya and Qaa. Surfaces are drained by dendritic networks of shallow channels and are characterized by well-developed desert pavement and desert varnish; typically appear dark brown on aerial photographs. Equivalent to unit Q2 of Bull (1991),
Qoa,,Old alluvial deposits (middle to early Pleistocene),"Well-consolidated sand and gravel forming surfaces incised by unit Qia and younger deposits. Surfaces are deeply dissected into ridges and ravines and generally have no desert varnish; typically appear very light brown on aerial photographs. Many ridges are capped by layers solidly cemented by caliche. Together with unit QToa, equivalent to unit Q1 of Bull (1991)",
QToa,,Extremely old alluvial deposits (early Pleistocene to Pliocene?),Wellconsolidated sand and gravel forming surfaces incised by unit Qoa and younger deposits. Similar in morphology to unit Qoa but topographically higher and more deeply dissected,
Tw4,,"Wild Horse Mesa Tuff, Unit 4 (Miocene)","Cliff-forming ash-flow tuff that forms summit of hill 1432T; top eroded; consists of upper, middle, and lower subunits about 8, 2, and 10 m thick, respectively. Upper subunit is a distinctive, dark-brown-weathering welded tuff characterized by abundant lenticular, crystallized pumice clasts and weathering pits mostly ≤2 cm long; a fine-grained, crystalline groundmass encloses scattered sanidine crystals ~1 mm long. Middle subunit consists of dense, dark-gray welded tuff containing sparse sanidine crystals ≤1 mm long and abundant small, highly flattened felsite clasts in a fine-grained crystalline groundmass with relict vitroclastic texture. Lower subunit consists of 10 m of light-brownish-gray welded tuff that contains elongate, dark-brown pumice fragments ≤2 cm long, light-gray lithic fragments ≤3 mm long, and scattered sanidine crystals. Contacts between subunits are gradational. Samples from each subunit are chemically similar, containing ~73.5–76 percent SiO2, 9.6– 9.8 percent K2O + Na2O, and a higher titanium content (0.21–0.27 percent TiO2) relative to SiO2 than underlying units of the Wild Horse Mesa Tuff. Unit is equivalent to lower part of the upper member of the Wild Horse Mesa Tuff of McCurry (1988). Total exposed thickness ~20 m",
Tw3,,"Wild Horse Mesa Tuff, Unit 3 (Miocene)","Light-gray, massive, weakly consolidated, unwelded tuff characterized by large-scale cavernous weathering; forms slope between cliff-forming welded tuffs of units Tw2w and Tw4. Tuff contains abundant light-brown to purplish-gray, unflattened, crystallized pumice clasts ≤2.5 cm long in a finegrained, crystalline groundmass that retains no relict vitroclastic texture; scattered sanidine crystals ≤2 mm long; rare biotite; and rare large crystals (4 mm) of microcline presumably reworked from granitic bedrock. Sanidine crystals are present in some pumice clasts. Strongly lithified, spherical to ovoid concretions of similar composition to host rock are locally abundant near base of unit. A representative sample of unit contains ~73.5 percent SiO2, 10.1 percent K2O + Na2O, and 0.20 percent TiO2. Unit is equivalent to upper part of the middle member of the Wild Horse Mesa Tuff of McCurry (1985). Thickness ~60 m",
Tw2u,,"Wild Horse Mesa Tuff, Unit 2, Unwelded facies (Miocene)","Light-brown to light-pinkish-brown, massive, low-density tuff characterized by abundant reddish-brown pumice fragments mostly ≤1 cm long. Pumice fragments are mostly oblong but do not appear to be highly flattened. As seen in thin section, both the pumice fragments and the enclosing groundmass are isotropic (glassy); the groundmass displays an unwelded vitroclastic texture with well-preserved shards. Including pumice fragments, sand-size and larger clasts typically make up ~30–40 percent of the rock volume; clasts include free crystals (mostly sanidine), felsic volcanic rock fragments, and rare granitic rock fragments. Four samples contain ~73–75 percent SiO2, 8.6–9.7 percent K2O + Na2O, and 0.16–0.20 percent TiO2",
Tw2w,,"Wild Horse Mesa Tuff, Unit 2, Welded facies (Miocene)","Pink to brown, strongly lithified, cliff-forming, welded tuff containing 30–50 percent sand-size and larger clasts floating in a fine-grained groundmass. Clasts include pumice fragments, crystals, and rare lithoclasts. Pumice fragments are elongate, dark brown to purplish brown, and ≤3 cm long and 1 cm thick; most are flattened and aligned with stratification. The pumice fragments are crystallized and some are spherulitic. Crystals are almost all anhedral to subhedral sanidine ≤2 mm in diameter; biotite and plagioclase crystals are rare. Some plagioclase crystals are sericitized and probably were reworked from older rocks. Lithoclasts are mostly fine-grained volcanic(?) rocks; one granitic rock fragment containing microcline was observed. The glassy to finely crystalline groundmass contains crystallized shards and small pumice fragments that are strongly flattened and commonly bent around adjacent crystals. Base of unit is marked by a distinctive, lightyellowish-brown, unwelded to weakly welded tuff that has well-developed columnar jointing and forms a continuous ledge about 2 m high; this rock contains 30–40 percent sand-size and larger clasts including orange pumice fragments as much as 7 mm long, felsic volcanic and minor fine-grained granitic lithoclasts as much as 4 mm long, and sanidine crystals in a glassy groundmass containing abundant yellowish-brown, crystallized shards. Eight samples of unit, including the basal yellow tuff, contain ~72.5–76 percent SiO2, 8.6–10 percent K2O + Na2O, and 0.13–0.20 percent TiO2",
Tw1,,"Wild Horse Mesa Tuff, Unit 1 (Miocene)","White to light-gray, weakly to moderately consolidated, massive to weakly laminated tuff that typically forms recessive slopes but locally forms bold outcrops. Tuff is vitroclastic and unwelded, composed primarily of wellpreserved, randomly oriented glass shards and glassy pumice fragments ≤1 cm long; sanidine and rare plagioclase crystals form ≤5 percent of the rock. Pumice clasts have form ratios ≤3:1 but do not appear to be significantly flattened. In many places, the tuff also contains abundant volcanic and granitic lithoclasts ≤4 cm long; the dominant clasts in one sample are glassy to felsitic volcanic rocks, some of which contain well-preserved shards that strongly suggest a Cenozoic source-rock age. Seven samples contain ~73–75 percent SiO2, 7.4–9.8 percent K2O + Na2O, and 0.15–0.21 percent TiO2. Maximum thickness ~40 m",
Tp,,Peach Spring Tuff (Miocene),"Light-gray to pinkish-gray, purplish-gray, and pink, cliff-forming ash-flow tuff correlated with the regionally extensive Peach Spring Tuff of Young (in Billingsley and others, 1999; formerly Peach Springs Tuff of Young and Brennan, 1974). Unit forms small, isolated outcrops in map area but is more continuously exposed in adjacent areas to the north and east (McCurry, 1985, 1988; Wells and Hillhouse, 1989; Buesch, 1991; Miller and others, 2007). In map area, unit primarily consists of welded tuff that contains elongate brown, crystallized pumice fragments ≤3 cm long and ~20 percent crystals ≤3 mm long (abundant sanidine, subordinate plagioclase and biotite, and rare but conspicuous sphene); the groundmass varies from glassy to felsitic and commonly has a well-preserved to relict vitroclastic texture with welded and compacted shards. Parts of unit show less evidence of welding and compaction. Nineteen samples contain ~72–79 percent SiO2, 7.6–9.6 percent K2O + Na2O, and 0.20–0.30 percent TiO2; the relatively high titanium content relative to SiO2 helps distinguish this unit from units 1–3 of the Wild Horse Mesa Tuff. Undated in map area; regional age is ~18.8 Ma (Ferguson and others, 2013). Maximum exposed thickness in map area is ~60 m",
Jdd,,Diabase dikes (Jurassic?),"Fine-grained diabase dikes 2 to 5 m thick that cut Cambrian rocks in northern part of map area, particularly the Cadiz Formation. Dikes strike easterly, approximately parallel to the strike of the host rocks. One dike cuts a felsic dike of unit Jdf. Undated",
Jdf,,Felsic to intermediate dikes (Jurassic),"Dikes of diverse composition and lithology that cut rocks of Jurassic and older age. Most mapped dikes are 5 to 20 m thick, 0.2 to 3 km long, and strike northwest to northeast; many unmapped, smaller dikes are also present. Dike rocks are variably light to dark shades of gray, brown, brownish gray, greenish gray, red, reddish gray, and reddish brown in color. Most dikes are porphyritic, containing 5–30 percent euhedral to subhedral phenocrysts of plagioclase and potassium feldspar 2–10 mm long in a fine-grained crystalline groundmass; some of the more felsic dikes also contain subequant quartz phenocrysts <1–4 mm in diameter. Mafic phenocrysts, primarily biotite, are uncommon to rare. Chemical composition of 24 samples varies from rhyolite (17 samples, ~70–78 percent SiO2 and ~8– 12 percent K2O + Na2O) to trachyte and (or) trachydacite (5 samples, ~61–66 percent SiO2 and ~9–11 percent K2O + Na2O) to trachyandesite and basaltic trachyandesite (2 samples, ~56 percent SiO2 and ~7–8 percent K2O + Na2O). The most silicic dikes are chemically similar to rhyolite of unit Jfr; dikes near the margins of unit Jfr probably are genetically related to that unit. The most mafic, dark-colored dikes are either uniformly fine-grained or contain scattered phenocrysts of light-red plagioclase; many small, unmapped dikes of this type cut Jurassic plutonic rocks (unit Jg) in southern part of map area. Unit age is interpreted as late Middle to early Late Jurassic based on U-Pb zircon ages of 162.4±1.1 Ma for a red rhyolite dike (sample 12-PR-3888) that cuts the quartz monzonite of Goldstone (unit Jg) and the Fountain Peak Rhyolite (unit Jfr) in southeastern part of map area and 165.9±2.4 Ma for a light-pinkish-gray rhyolite dike (sample 14-PR-5023) that cuts the monzogranite of Tough Nut Spring (unit Jt) a short distance north of map area ",
Jap,,Aplite dikes (Jurassic),"White, medium-grained aplite dikes as much as 10 m thick that cut Jurassic granitoid rocks (units Jg, Jgm) and are cut by younger Jurassic dikes (",
